Row,centroid1,centroid2,centroid3
R_bankssts,75.5969526469707,-44.5122653841972,-44.9999999552965
R_caudalanteriorcingulate,-78.849366489845,50.2650632254685,32.8163291593141
R_caudalmiddlefrontal,32.6754261506513,44.8925111368633,79.7449332096117
R_cuneus,-61.8575959205627,-71.9746152070852,-27.2220192414064
R_entorhinal,-13.2585714090438,37.4957147779919,-91.0288096836635
R_fusiform,-17.0348148115155,-15.1052862979748,-93.0781486074531
R_inferiorparietal,38.5146480690926,-85.0036496101542,-8.78351878846726
R_inferiortemporal,17.1807169552119,-16.2786792476222,-92.4635473863134
R_isthmuscingulate,-94.3801751387747,-16.7828947305679,-9.05508765003137
R_lateraloccipital,-12.8182656323098,-78.8875608159921,-53.6838481406855
R_lateralorbitofrontal,2.25861426687029,89.2663293902794,-37.7567040161247
R_lingual,-62.6195968197238,-30.8321772535001,-67.3628630484304
R_medialorbitofrontal,-41.9680745379525,87.1731672583159,-16.6816149187384
R_middletemporal,46.6064152927519,-24.7361635142152,-77.7216983891133
R_parahippocampal,-48.6545359031441,9.00113382290319,-84.685567403577
R_paracentral,-59.1587608206985,-20.579487097569,74.6374789180919
R_parsopercularis,72.1631996917725,62.9734003957113,18.1681332111359
R_parsorbitalis,26.9214546723799,94.3941825173118,-15.1538182432001
R_parstriangularis,51.9205634157423,83.6294364929199,-1.85049295089614
R_pericalcarine,-65.8361467833913,-55.8233029426785,-47.5181646784511
R_postcentral,53.118010668635,-24.0428873346725,60.7988910280483
R_posteriorcingulate,-90.1643394614166,4.41226411015732,38.6841506478172
R_precentral,38.6298789864183,6.91830560948232,76.2209078028415
R_precuneus,-75.0473894785686,-51.4105019856648,22.2412249103607
R_rostralanteriorcingulate,-62.9992986980237,76.1235085202937,7.39754388206883
R_rostralmiddlefrontal,17.9650891363252,84.9484749444641,38.2789504957671
R_superiorfrontal,-41.1460455825238,48.4468230715386,66.3755228717589
R_superiorparietal,-14.3325585442161,-82.8327456338915,37.2307332406364
R_superiortemporal,71.5612120461631,11.4783449217434,-58.3476456728849
R_supramarginal,85.8106928834821,-32.8883168720963,17.2157623069121
R_frontalpole,-21.1596001052856,97.3535992431641,3.73800011634827
R_temporalpole,15.7224443309837,48.5711109585232,-85.3831115722656
R_transversetemporal,88.3152081171672,19.9954167207082,-40.9602082967758
R_insula,63.7059006098635,56.8871428685159,-41.9077950975169
