Row,centroid1,centroid2,centroid3
7Networks_LH_Vis_1,23.8278912468021,-7.07659862479385,-95.0868709330656
7Networks_LH_Vis_2,1.83383328529696,-57.182666905721,-80.4029170354207
7Networks_LH_Vis_3,32.4410947842972,-37.730656881402,-84.9094893184021
7Networks_LH_Vis_4,-10.6887582034798,-84.1058166603637,-50.007516524371
7Networks_LH_Vis_5,25.6192727869207,-77.8301820234819,-55.1154542749578
7Networks_LH_Vis_6,58.663588692697,-52.7007175427305,-57.1135884517688
7Networks_LH_Vis_7,-51.6353788231358,-74.653333085956,-38.4208333131039
7Networks_LH_Vis_8,-6.50086957237859,-95.7899511954635,-14.0041062947057
7Networks_LH_Vis_9,41.2377167048417,-87.2355117797852,-19.4632283233282
7Networks_LH_SomMot_1,-92.812375094242,15.9711111852492,-20.5234099347929
7Networks_LH_SomMot_2,-88.4471726516198,42.8671034714271,0.26275860687782
7Networks_LH_SomMot_3,-82.737575415409,37.4876260865818,35.4657070456129
7Networks_LH_SomMot_4,-57.0299534376277,22.2480929651926,75.9812561390012
7Networks_LH_SomMot_5,-19.4132334958026,-15.8161376985961,93.1434732539925
7Networks_LH_SomMot_6,49.8028153516017,-25.6236260662208,74.5066670684127
7Networks_LH_DorsAttn_Post_1,-34.2156127366153,-45.1187746854639,-77.7238341621731
7Networks_LH_DorsAttn_Post_2,-75.4475540051357,-14.9387769098762,61.4853956373475
7Networks_LH_DorsAttn_Post_3,2.94738097578845,-89.2060882931664,35.8162244412364
7Networks_LH_DorsAttn_Post_4,-45.2905044715945,-46.9647898954504,73.8159663737321
7Networks_LH_DorsAttn_Post_5,51.3881512169077,-73.2121006300469,42.059663996977
7Networks_LH_DorsAttn_Post_6,17.9745034564607,-67.3003972792468,68.9974170962706
7Networks_LH_DorsAttn_PrCv_1,-47.379697192799,59.3431819183658,60.9394950770368
7Networks_LH_DorsAttn_FEF_1,20.1785957186146,22.665446785663,92.41510672062
7Networks_LH_SalVentAttn_ParOper_1,-91.3177120233673,-19.9070587064706,30.6265359828675
7Networks_LH_SalVentAttn_FrOperIns_1,-55.9622527950413,62.0723627949809,-51.0016482321771
7Networks_LH_SalVentAttn_FrOperIns_2,-58.9306631088257,77.0120918312851,-8.68566331936389
7Networks_LH_SalVentAttn_PFCl_1,14.0633582491428,85.1153727289456,47.9109702039121
7Networks_LH_SalVentAttn_Med_1,90.1463519575258,30.5720601184174,20.7772961430284
7Networks_LH_SalVentAttn_Med_2,82.9085527721204,-34.1873686627338,39.5709207183436
7Networks_LH_SalVentAttn_Med_3,73.0524998528617,14.0174998675074,64.3505714688982
7Networks_LH_Limbic_OFC_1,27.8409653524203,80.4577991677067,-46.9352122126399
7Networks_LH_Limbic_TempPole_1,-19.4778965517252,30.7371844064842,-89.4011328984233
7Networks_LH_Limbic_TempPole_2,-47.8566469248603,-16.6924116302939,-82.7535299413344
7Networks_LH_Cont_Par_1,-45.3004978015951,-72.4300905288075,45.3778278385352
7Networks_LH_Cont_PFCl_1,-20.0293939734499,86.6918687146119,40.4529795454006
7Networks_LH_Cont_pCun_1,54.0913925170898,-82.5297468161281,4.80329117593886
7Networks_LH_Cont_Cing_1,96.3699996361366,-19.5336153012056,-2.1400000663904
7Networks_LH_Default_Temp_1,-68.749523744129,13.7742855673745,-68.1649048214867
7Networks_LH_Default_Temp_2,-85.731506071895,-19.2031928056694,-44.3462048266307
7Networks_LH_Default_Par_1,-85.9327008880838,-42.5551826309984,-20.2988320789198
7Networks_LH_Default_Par_2,-65.9855254806198,-69.5402403135557,10.7095496088893
7Networks_LH_Default_PFC_1,-21.976942200306,85.9989250750581,-43.3133883436849
7Networks_LH_Default_PFC_2,-22.9769417665971,94.0460678026514,-2.27441749526459
7Networks_LH_Default_PFC_3,64.3901401591078,72.6872430427052,-11.4037383672233
7Networks_LH_Default_PFC_4,24.9754658322897,94.8181985416768,5.01459624012065
7Networks_LH_Default_PFC_5,56.7648082626821,63.6769686110759,46.0245993278583
7Networks_LH_Default_PFC_6,-9.8148863249543,56.5660227428783,80.6028413772583
7Networks_LH_Default_PFC_7,26.0138585436063,56.696929060568,76.315669472762
7Networks_LH_Default_pCunPCC_1,77.0442601742952,-46.4795651809029,-38.6561740875244
7Networks_LH_Default_pCunPCC_2,79.7897547366572,-55.9530882741891,4.38073529916651
