"geneSet","mean","median","meanabs","meansqr","maxmean","sig_n","sign_test","rank_sum","ks_orig","ks_weighted"
"GO:0022853",0.571428571428571,0.714285714285714,0.142857142857143,0,0,0,0.428571428571429,0,0.714285714285714,0.571428571428571
"GO:0030145",0,0,0,0,0.142857142857143,0,0,0,0,0
"GO:0030165",0.142857142857143,0.571428571428571,0,0,0,0,0,0,0.285714285714286,0
"GO:0030170",0,0,0,0,0,0,0,0,0,0
"GO:0030246",0,0,0,0,0,0,0,0,0,0
"GO:0030276",0,0,0,0,0,0,0,0,0,0
"GO:0030295",0,0,0,0,0,0,0,0,0,0
"GO:0030331",0,0,0,0,0,0,0,0,0,0
"GO:0030374",0,0.142857142857143,0,0,0,0.142857142857143,0,0,0,0
"GO:0030414",0,0,0,0,0,0,0,0,0,0
"GO:0030545",0,0,0,0,0.142857142857143,0,0,0,0,0.285714285714286
"GO:0030546",0,0,0,0,0.142857142857143,0,0,0,0,0
"GO:0030594",0.571428571428571,0.571428571428571,0,0,0.142857142857143,0,0.285714285714286,0,0.428571428571429,0.571428571428571
"GO:0030674",0,0,0,0,0,0,0,0,0,0
"GO:0030971",0,0,0,0,0,0,0,0,0,0
"GO:0031072",0.142857142857143,0,0,0,0,0,0,0,0,0
"GO:0031267",0,0,0,0,0,0,0,0,0,0
"GO:0031406",0.714285714285714,0.428571428571429,0,0,0,0,0.857142857142857,0,0.857142857142857,0.571428571428571
"GO:0031490",0.285714285714286,0.285714285714286,0,0,0,0,0,0,0.285714285714286,0.285714285714286
"GO:0031593",0,0,0,0,0,0,0,0,0,0
"GO:0031625",0,0.142857142857143,0,0,0,0,0,0,0.142857142857143,0
"GO:0032182",0,0,0,0,0,0,0,0,0,0
"GO:0032549",0.142857142857143,0,0,0,0,0,0.285714285714286,0,0,0
"GO:0032550",0.142857142857143,0,0,0,0,0,0.285714285714286,0,0,0.142857142857143
"GO:0032561",0.142857142857143,0,0,0,0,0,0.142857142857143,0,0,0
"GO:0032934",0,0,0,0,0,0,0,0,0,0
"GO:0033218",0,0,0,0,0,0,0.714285714285714,0,0.571428571428571,0
"GO:0033293",0.285714285714286,0,0,0,0,0,0.428571428571429,0,0.285714285714286,0.285714285714286
"GO:0033613",0,0,0,0,0,0,0,0,0,0
"GO:0035064",0.142857142857143,0,0,0,0,0,0,0,0.571428571428571,0.142857142857143
"GO:0035091",0,0,0.142857142857143,0.142857142857143,0.142857142857143,0,0,0,0,0
"GO:0035254",0,0,0,0,0,0,0,0,0,0
"GO:0035257",0,0,0,0,0,0,0,0,0,0
"GO:0035258",0,0,0,0,0,0,0,0,0,0
"GO:0035591",0,0,0,0,0.142857142857143,0,0,0,0,0
"GO:0038024",0,0.142857142857143,0,0,0,0,0,0,0,0
"GO:0042277",0.142857142857143,0,0,0,0,0,0.714285714285714,0,0.428571428571429,0
"GO:0042393",0.571428571428571,0.142857142857143,0.142857142857143,0.142857142857143,0,0,0.285714285714286,0,0.714285714285714,0.428571428571429
"GO:0042562",0,0,0,0.142857142857143,0,0.142857142857143,0,0,0,0
"GO:0042578",0,0,0,0,0,0,0,0,0,0
"GO:0042625",0.142857142857143,0.142857142857143,0,0,0.285714285714286,0,0,0,0.142857142857143,0.142857142857143
"GO:0042626",0,0,0,0,0.142857142857143,0,0,0,0,0
"GO:0042826",0,0,0,0,0,0,0,0,0,0
"GO:0042887",0,0,0,0,0,0,0,0,0,0
"GO:0043021",0,0,0,0,0,0,0,0,0,0
"GO:0043022",0,0,0,0,0,0,0,0,0,0
"GO:0043130",0,0,0,0,0,0,0,0,0,0
"GO:0043177",0.571428571428571,0,0,0,0,0,0,0,0.142857142857143,0
"GO:0043178",0,0,0,0.142857142857143,0,0,0,0,0,0.285714285714286
"GO:0044325",0,0,0,0,0.142857142857143,0,0,0,0,0.285714285714286
"GO:0044389",0,0.142857142857143,0.142857142857143,0,0,0,0,0,0.142857142857143,0
"GO:0045182",0,0,0,0,0.142857142857143,0,0,0,0,0
"GO:0045296",0,0,0,0,0,0,0,0,0,0
"GO:0045309",0,0,0,0,0,0,0,0,0,0
"GO:0046332",0,0,0,0,0,0,0,0,0,0
"GO:0046873",0.428571428571429,0.714285714285714,0.142857142857143,0.142857142857143,0.285714285714286,0.142857142857143,0.428571428571429,0,0.714285714285714,0.428571428571429
"GO:0046906",0,0,0,0,0,0,0,0,0,0
"GO:0046943",0,0,0,0,0,0,0,0,0,0
"GO:0046982",0,0,0,0,0,0,0,0,0,0
"GO:0047485",0,0,0,0,0,0,0,0,0,0
"GO:0048018",0,0,0,0,0.142857142857143,0,0,0,0,0.285714285714286
"GO:0048029",0,0,0,0,0,0,0,0,0,0
"GO:0048156",0,0,0,0,0,0,0,0,0,0
"GO:0048306",0.571428571428571,0,0,0,0,0,0.285714285714286,0,0.285714285714286,0.285714285714286
"GO:0050660",0.571428571428571,0,0,0,0,0,0,0,0.571428571428571,0
"GO:0050840",0,0,0,0,0,0,0,0,0,0
"GO:0051015",0,0,0,0,0,0,0,0,0,0
"GO:0051018",0,0,0,0,0,0,0,0,0,0
"GO:0051020",0,0,0,0,0,0,0,0,0,0
"GO:0051082",0,0,0,0,0,0,0,0,0,0
"GO:0051087",0,0,0,0,0,0,0,0,0,0
"GO:0051117",0,0,0,0,0,0,0,0,0,0
"GO:0051213",0,0,0,0,0,0,0,0,0,0
"GO:0051219",0,0.142857142857143,0,0,0,0,0,0,0,0.142857142857143
"GO:0051287",0,0,0,0,0,0,0,0,0,0
"GO:0051427",0,0,0,0,0,0,0,0,0,0
"GO:0052689",0,0,0,0,0,0,0,0,0,0
"GO:0060090",0,0,0,0,0,0,0,0,0,0
"GO:0061134",0,0,0,0,0,0,0,0,0,0
"GO:0061135",0,0,0,0,0,0,0,0,0,0
"GO:0061629",0,0,0,0,0,0,0,0,0,0
"GO:0061630",0,0,0,0,0,0,0,0,0,0
"GO:0061659",0,0,0,0,0,0,0,0,0,0
"GO:0070279",0,0,0,0,0,0,0,0,0,0
"GO:0070491",0.285714285714286,0.285714285714286,0,0,0,0.285714285714286,0,0,0.285714285714286,0.428571428571429
"GO:0070851",0,0,0,0,0,0,0,0.142857142857143,0,0
"GO:0070888",0,0,0,0,0,0,0,0,0,0
"GO:0072341",0,0,0,0,0,0,0,0,0,0
"GO:0090079",0,0,0,0,0.142857142857143,0,0,0,0,0
"GO:0097110",0,0,0,0,0,0,0,0,0.142857142857143,0
"GO:0098531",0,0.428571428571429,0.285714285714286,0.428571428571429,0.142857142857143,0,0,0,0,0
"GO:0098631",0,0,0,0,0.142857142857143,0,0,0,0,0
"GO:0098632",0,0,0,0,0,0,0,0,0,0
"GO:0098960",0.571428571428571,0.285714285714286,0,0,0,0,0.142857142857143,0,0.285714285714286,0.571428571428571
"GO:0099094",0.285714285714286,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0,0,0,0.142857142857143,0.285714285714286
"GO:0099106",0.714285714285714,0.857142857142857,0,0,0.142857142857143,0,0.142857142857143,0,0.285714285714286,0.714285714285714
"GO:0099529",0.142857142857143,0.142857142857143,0,0,0,0,0,0,0.142857142857143,0.428571428571429
"GO:0101005",0,0,0,0,0,0,0,0,0,0
"GO:0106306",0,0,0,0,0,0,0,0,0,0
"GO:0106307",0,0,0,0,0,0,0,0,0,0
"GO:0106310",0.428571428571429,0.142857142857143,0,0,0,0,0,0,0.142857142857143,0.285714285714286
"GO:0106311",0.571428571428571,0.142857142857143,0,0,0,0,0,0,0.142857142857143,0.285714285714286
"GO:0120013",0,0,0,0,0,0,0,0,0,0
