Row,centroid1,centroid2,centroid3
7Networks_LH_Vis_1,24.7342168615166,-29.9922892099403,-90.7873501145696
7Networks_LH_Vis_2,1.83491663547854,-57.0042501767476,-80.5365837097168
7Networks_LH_Vis_3,-34.1474119522992,-61.4370589312385,-69.8738824732163
7Networks_LH_Vis_4,40.0825333658854,-45.3281332651774,-78.5274669392904
7Networks_LH_Vis_5,-7.51500000570638,-80.3949994796362,-57.6494873242501
7Networks_LH_Vis_6,65.1954540772872,-25.225227095864,-70.8547726544467
7Networks_LH_Vis_7,23.4669000053406,-78.7297001647949,-54.9868996429443
7Networks_LH_Vis_8,-52.9152941236309,-73.6362741881726,-39.6187255522784
7Networks_LH_Vis_9,-9.75967745434853,-91.889032425419,-36.2859678268433
7Networks_LH_Vis_10,56.495318065489,-59.5223120761055,-53.777456581248
7Networks_LH_Vis_11,-30.7766280063363,-88.5044183952864,-31.0216279916985
7Networks_LH_Vis_12,54.9393752415975,-79.7191667556763,-22.5527085065842
7Networks_LH_Vis_13,30.0430769879594,-92.4970086904673,-16.1087178613386
7Networks_LH_Vis_14,-1.70182690468545,-98.5720180364756,-6.83230767571009
7Networks_LH_SomMot_1,-78.4948278843671,39.3305751537455,-45.5835626755638
7Networks_LH_SomMot_2,-95.9173543622417,14.3660000108903,-16.1570968889421
7Networks_LH_SomMot_3,-88.2866669266312,43.4966666892723,-0.13681482385706
7Networks_LH_SomMot_4,-77.8605306169628,48.4146899839418,37.0205308863547
7Networks_LH_SomMot_5,-90.7434284755162,20.4017142568316,34.6587142944336
7Networks_LH_SomMot_6,-62.7603529088637,22.1037058367449,72.2020003599279
7Networks_LH_SomMot_7,-31.204148820106,18.842340418633,91.9063834332405
7Networks_LH_SomMot_8,89.5606593876095,-4.04494502256205,41.8035163669796
7Networks_LH_SomMot_9,-38.8842682722138,-32.3410976049377,84.5452446356052
7Networks_LH_SomMot_10,-24.1748333921035,-19.0919167558352,93.5065001805623
7Networks_LH_SomMot_11,-2.08566041009606,-66.8500002735066,73.4856601931014
7Networks_LH_SomMot_12,3.92327264980836,-6.76554537036202,98.3088179848411
7Networks_LH_SomMot_13,1.04000013915159,-51.4430509017686,84.720848730055
7Networks_LH_SomMot_14,31.9114139793497,4.43444437932486,93.3811116074071
7Networks_LH_SomMot_15,55.8431050723002,-29.5531047011075,74.3450687704565
7Networks_LH_SomMot_16,16.3453448592075,-35.4460349247373,91.4029316080028
7Networks_LH_DorsAttn_Post_1,-24.1600000191091,-32.2065671024038,-89.492462955304
7Networks_LH_DorsAttn_Post_2,-61.7214287349156,-54.1144644192287,-56.0392852510725
