"geneSet","pvals.PLSR","sim_brain"
"GO:0007268",0.988002399520096,1
"GO:0007416",0.997400519896021,1
"GO:0008021",0.992201559688062,1
"GO:0014069",0.963607278544291,1
"GO:0016079",0.979404119176165,1
"GO:0030285",0.954009198160368,1
"GO:0030672",0.993001399720056,1
"GO:0042734",0.957608478304339,1
"GO:0045211",0.997200559888022,1
"GO:0048488",0.973005398920216,1
"GO:0048786",0.997000599880024,1
"GO:0048787",0.996800639872026,1
"GO:0050804",0.945810837832433,1
"GO:0050808",0.994601079784043,1
"GO:0051963",0.999000199960008,1
"GO:0060078",0.988002399520096,1
"GO:0098839",0.989602079584083,1
"GO:0098918",0.951009798040392,1
"GO:0099010",0.989002199560088,1
"GO:0099055",0.999000199960008,1
"GO:0099056",0.974205158968206,1
"GO:0099059",0.998400319936013,1
"GO:0099060",0.997000599880024,1
"GO:0099061",0.972805438912218,1
"GO:0099072",0.992601479704059,1
"GO:0099092",0.981003799240152,1
"GO:0099171",0.994001199760048,1
"GO:0099173",0.620675864827035,1
"GO:0099175",0.882023595280944,1
"GO:0099188",0.991601679664067,1
"GO:0099504",0.951409718056389,1
"GO:0099505",0.975604879024195,1
"GO:0099509",0.978604279144171,1
"GO:0099523",0.933413317336533,1
"GO:0099531",0.967206558688262,1
"GO:0099536",0.994001199760048,1
"GO:0099537",0.982403519296141,1
"GO:0099560",0.974605078984203,1
"GO:0099563",0.967606478704259,1
"GO:0099572",0.998400319936013,1
"GO:0099634",0.999000199960008,1
"GO:0099645",0.997200559888022,1
"GO:1904315",0.985402919416117,1
"GO:1905606",0.993401319736053,1
"GO:2000300",0.988202359528094,1
"SYNGO:metabolism",0.995800839832034,1
"SYNGO:postsynprocess",0.985602879424115,1
"SYNGO:presynprocess",0.987402519496101,1
"SYNGO:transport",0.980403919216157,1
"GO:0007268",0.98880223955209,2
"GO:0007416",0.996000799840032,2
"GO:0008021",0.999000199960008,2
"GO:0014069",0.996800639872026,2
"GO:0016079",0.99880023995201,2
"GO:0030285",0.998400319936013,2
"GO:0030672",0.999200159968006,2
"GO:0042734",0.99880023995201,2
"GO:0045211",0.998600279944011,2
"GO:0048488",0.996800639872026,2
"GO:0048786",0.995400919816037,2
"GO:0048787",0.999400119976005,2
"GO:0050804",0.99620075984803,2
"GO:0050808",0.999000199960008,2
"GO:0051963",0.965606878624275,2
"GO:0060078",0.998600279944011,2
"GO:0098839",0.999000199960008,2
"GO:0098918",0.997400519896021,2
"GO:0099010",0.997600479904019,2
"GO:0099055",0.99380123975205,2
"GO:0099056",0.996400719856029,2
"GO:0099059",0.998600279944011,2
"GO:0099060",0.985202959408118,2
"GO:0099061",0.997600479904019,2
"GO:0099072",0.998400319936013,2
"GO:0099092",0.997400519896021,2
"GO:0099171",0.994201159768046,2
"GO:0099173",0.996000799840032,2
"GO:0099175",0.990601879624075,2
"GO:0099188",0.999600079984003,2
"GO:0099504",0.999600079984003,2
"GO:0099505",0.997400519896021,2
"GO:0099509",0.997000599880024,2
"GO:0099523",0.999400119976005,2
"GO:0099531",0.989002199560088,2
"GO:0099536",0.995800839832034,2
"GO:0099537",0.997200559888022,2
"GO:0099560",0.975404919016197,2
"GO:0099563",0.981803639272146,2
"GO:0099572",0.995200959808038,2
"GO:0099634",0.998000399920016,2
"GO:0099645",0.999000199960008,2
"GO:1904315",0.998200359928014,2
"GO:1905606",0.999000199960008,2
"GO:2000300",0.998200359928014,2
"SYNGO:metabolism",0.99880023995201,2
"SYNGO:postsynprocess",0.999000199960008,2
"SYNGO:presynprocess",0.999800039992002,2
"SYNGO:transport",0.997800439912018,2
"GO:0007268",0.984603079384123,3
"GO:0007416",0.995600879824035,3
"GO:0008021",0.960407918416317,3
"GO:0014069",0.989802039592082,3
"GO:0016079",0.995800839832034,3
"GO:0030285",0.992801439712058,3
"GO:0030672",0.912417516496701,3
"GO:0042734",0.972005598880224,3
"GO:0045211",0.994601079784043,3
"GO:0048488",0.99000199960008,3
"GO:0048786",0.950809838032393,3
"GO:0048787",0.97620475904819,3
"GO:0050804",0.978204359128174,3
"GO:0050808",0.995800839832034,3
"GO:0051963",0.998600279944011,3
"GO:0060078",0.996600679864027,3
"GO:0098839",0.995800839832034,3
"GO:0098918",0.957408518296341,3
"GO:0099010",0.987802439512098,3
"GO:0099055",0.997000599880024,3
"GO:0099056",0.99120175964807,3
"GO:0099059",0.947410517896421,3
"GO:0099060",0.989402119576085,3
"GO:0099061",0.994201159768046,3
"GO:0099072",0.986602679464107,3
"GO:0099092",0.972805438912218,3
"GO:0099171",0.994401119776045,3
"GO:0099173",0.978004399120176,3
"GO:0099175",0.995800839832034,3
"GO:0099188",0.99880023995201,3
"GO:0099504",0.990401919616077,3
"GO:0099505",0.985602879424115,3
"GO:0099509",0.99620075984803,3
"GO:0099523",0.989202159568086,3
"GO:0099531",0.997600479904019,3
"GO:0099536",0.99620075984803,3
"GO:0099537",0.988602279544091,3
"GO:0099560",0.993601279744051,3
"GO:0099563",0.99620075984803,3
"GO:0099572",0.995400919816037,3
"GO:0099634",0.999200159968006,3
"GO:0099645",0.967206558688262,3
"GO:1904315",0.999600079984003,3
"GO:1905606",0.991001799640072,3
"GO:2000300",0.995800839832034,3
"SYNGO:metabolism",0.982203559288142,3
"SYNGO:postsynprocess",0.992001599680064,3
"SYNGO:presynprocess",0.994001199760048,3
"SYNGO:transport",0.979404119176165,3
"GO:0007268",0.998200359928014,4
"GO:0007416",0.999000199960008,4
"GO:0008021",0.996000799840032,4
"GO:0014069",0.995400919816037,4
