"geneSet","pvals.mean","pvals.median","pvals.meanabs","pvals.meansqr","pvals.maxmean","pvals.sig_n","pvals.ks_orig","pvals.ks_weighted","sim_brain"
"GO:0007268",0.994205298013245,0.980132450331126,0.803394039735099,0.862582781456954,0.846854304635762,0.786009933774834,0.977349943374858,0.975028376844495,1
"GO:0007416",0.968006398720256,0.948810237952409,0.763247350529894,0.854629074185163,0.902819436112777,0.857428514297141,0.993530499075786,0.958605664488017,1
"GO:0008021",0.984848484848485,0.984848484848485,0.878787878787879,0.878787878787879,0.53030303030303,0.954545454545455,1,1,1
"GO:0014069",0.964407118576285,0.882823435312937,0.524095180963807,0.690461907618476,0.530093981203759,0.724255148970206,0.995942028985507,0.966059082338152,1
"GO:0016079",0.856028794241152,0.612077584483103,0.80503899220156,0.955408918216357,0.856428714257149,0.993001399720056,0.741861531407611,0.904868244752121,1
"GO:0030285",0.995676500508647,0.991098677517803,0.810783316378433,0.701932858596134,0.453458799593082,0.836978636826043,0.990266060999351,0.99371332774518,1
"GO:0030672",0.933333333333333,0.866666666666667,0.866666666666667,0.8,0.466666666666667,0.866666666666667,1,1,1
"GO:0042734",0.980914429530201,0.966023489932886,0.742239932885906,0.883808724832215,0.904781879194631,0.829697986577181,0.964971063052086,0.961333333333333,1
"GO:0045211",0.936812637472506,0.913617276544691,0.503499300139972,0.578284343131374,0.722855428914217,0.767646470705859,0.991412213740458,0.983632862644416,1
"GO:0048488",0.934213157368526,0.90501899620076,0.738052389522096,0.782043591281744,0.628474305138972,0.619676064787043,0.986647926914968,0.96193525435788,1
"GO:0048786",0.981687377370831,0.903858731196861,0.792020928711576,0.928711576193591,0.792674950948332,0.916285153695226,0.984805318138651,0.984805318138651,1
"GO:0048787",0.966606678664267,0.991001799640072,0.513297340531894,0.626474705058988,0.336532693461308,0.516896620675865,0.983486821213084,0.936563595792158,1
"GO:0050804",0.920615876824635,0.946610677864427,0.675264947010598,0.795240951809638,0.646670665866827,0.677664467106579,0.892066734763364,0.807438303788669,1
"GO:0050808",0.982758620689655,0.982758620689655,0.96551724137931,0.982758620689655,0.96551724137931,0.982758620689655,1,1,1
"GO:0051963",0.732253549290142,0.722055588882224,0.267146570685863,0.354329134173165,0.511697660467906,0.195160967806439,0.816835871404399,0.724194880264244,1
"GO:0060078",0.872425514897021,0.710857828434313,0.13997200559888,0.251749650069986,0.213957208558288,0.123975204959008,0.810563072893933,0.748085106382979,1
"GO:0098839",0.994601079784043,0.95500899820036,0.897420515896821,0.935412917416517,0.844831033793241,0.843031393721256,0.965902738960313,0.980544747081712,1
"GO:0098918",0.41871625674865,0.246350729854029,0.822835432913417,0.941811637672465,0.896620675864827,0.999800039992002,0.496887586964482,0.51978021978022,1
"GO:0099010",0.694061187762448,0.0987802439512098,0.470505898820236,0.612077584483103,0.555288942211558,0.822835432913417,0.547315565855543,0.817288801571709,1
"GO:0099055",0.932213557288542,0.874225154969006,0.555488902219556,0.634273145370926,0.729054189162168,0.768846230753849,0.989656322989656,0.985796415285763,1
"GO:0099056",0.987434028650415,0.928373963307364,0.601910027645137,0.784619251068108,0.791907514450867,0.751696406132194,0.977030352748154,0.97881010594947,1
"GO:0099059",0.999200159968006,0.935612877424515,0.525694861027794,0.57128574285143,0.413517296540692,0.51129774045191,0.997002997002997,0.959170013386881,1
"GO:0099060",0.973605278944211,0.641471705658868,0.348130373925215,0.417716456708658,0.0235952809438112,0.183563287342531,0.867001254705144,0.632193494578816,1
"GO:0099061",0.99500099980004,0.945410917816437,0.802239552089582,0.863627274545091,0.803439312137572,0.780843831233753,0.99639855942377,0.975294117647059,1
"GO:0099072",0.926855895196507,0.577510917030568,0.656113537117904,0.858078602620087,0.843886462882096,0.937772925764192,0.926093514328808,0.938253012048193,1
"GO:0099092",0.336332733453309,0.158968206358728,0.464507098580284,0.582683463307339,0.130573885222955,0.8250349930014,0.439450686641698,0.315422477440525,1
"GO:0099171",0.917416516696661,0.758848230353929,0.343331333733253,0.398520295940812,0.272145570885823,0.454709058188362,0.982419127988748,0.928062678062678,1
"GO:0099173",0.717256548690262,0.612677464507099,0.979204159168166,0.995800839832034,0.9750049990002,0.996400719856029,0.370474516695958,0.774502840909091,1
"GO:0099175",0.913601741022851,0.877693144722524,0.981719260065288,0.995212187159957,0.969532100108814,0.995212187159957,0.699057287889775,0.900327391778829,1
"GO:0099188",0.833233353329334,0.89122175564887,0.78124375124975,0.911017796440712,0.557088582283543,0.999800039992002,0.889918458117124,0.750186150409531,1
"GO:0099504",0.983333333333333,0.975,0.841666666666667,0.966666666666667,0.533333333333333,0.966666666666667,1,0.98936170212766,1
"GO:0099505",0.839432113577285,0.640871825634873,0.265146970605879,0.381323735252949,0.383523295340932,0.144571085782843,0.829133064516129,0.738071570576541,1
"GO:0099509",0.660267946410718,0.201759648070386,0.338332333533293,0.602279544091182,0.605878824235153,0.595480903819236,0.301671732522796,0.743207041714504,1
"GO:0099523",0.72745450909818,0.376924615076985,0.734053189362128,0.856628674265147,0.643071385722855,0.79744051189762,0.576007326007326,0.593436645396536,1
