"geneSet","pvals.mean","pvals.median","pvals.meanabs","pvals.meansqr","pvals.maxmean","pvals.ks_orig","pvals.ks_weighted","sim_brain"
"GO:0007268",0.949810037992401,0.688062387522495,0.444711057788442,0.505498900219956,0.49750049990002,0.67498051441933,0.929176289453426,1
"GO:0007416",0.75624875024995,0.570485902819436,0.461107778444311,0.522095580883823,0.533893221355729,0.954580152671756,0.885083713850837,1
"GO:0008021",0.62247550489902,0.540491901619676,0.449710057988402,0.481903619276145,0.415916816636673,0.735697940503433,0.674463190184049,1
"GO:0014069",0.901619676064787,0.560887822435513,0.40251949610078,0.467706458708258,0.432713457308538,0.97226443768997,0.985233798195242,1
"GO:0016079",0.67246550689862,0.288942211557688,0.457308538292342,0.550689862027595,0.507098580283943,0.543737166324435,0.901618929016189,1
"GO:0030285",0.915616876624675,0.814637072585483,0.475504899020196,0.485102979404119,0.417716456708658,0.871825876662636,0.951915559030493,1
"GO:0030672",0.529094181163767,0.312737452509498,0.4625074985003,0.485302939412118,0.413917216556689,0.544356360890902,0.559090909090909,1
"GO:0042734",0.806038792241552,0.629274145170966,0.441711657668466,0.506698660267946,0.522895420915817,0.768895924020578,0.915132105684548,1
"GO:0045211",0.816636672665467,0.629674065186963,0.403919216156769,0.468306338732254,0.454509098180364,0.965503568596352,0.994393271926312,1
"GO:0048488",0.724255148970206,0.608878224355129,0.466906618676265,0.50249950009998,0.448310337932414,0.922662562524048,0.892201834862385,1
"GO:0048786",0.672665466906619,0.309138172365527,0.441711657668466,0.519496100779844,0.46750649870026,0.691006917755573,0.878151260504202,1
"GO:0048787",0.691861627674465,0.85622875424915,0.393521295740852,0.461907618476305,0.38372325534893,0.798470363288719,0.779727095516569,1
"GO:0050804",0.814437112577485,0.799440111977604,0.438912217556489,0.503499300139972,0.45870825834833,0.63125481139338,0.823552123552124,1
"GO:0050808",0.635272945410918,0.485702859428114,0.462707458508298,0.530693861227754,0.501699660067986,0.627131782945736,0.903088803088803,1
"GO:0051963",0.545890821835633,0.429714057188562,0.386522695460908,0.448510297940412,0.453909218156369,0.63695038321904,0.750830564784053,1
"GO:0060078",0.725654869026195,0.474505098980204,0.297740451909618,0.386322735452909,0.347930413917217,0.796499796499797,0.766962843295638,1
"GO:0098839",0.982803439312138,0.676464707058588,0.478504299140172,0.529494101179764,0.493301339732054,0.838091353996737,0.974548440065681,1
"GO:0098918",0.262147570485903,0.0981803639272146,0.516896620675865,0.609078184363127,0.603479304139172,0.25958930647036,0.480859375,1
"GO:0099010",0.610277944411118,0.0829834033193361,0.38372325534893,0.464907018596281,0.423115376924615,0.389183055975794,0.833270605946556,1
"GO:0099055",0.83243351329734,0.58248350329934,0.404919016196761,0.470905818836233,0.46870625874825,0.963453815261044,0.99644128113879,1
"GO:0099056",0.814437112577485,0.444911017796441,0.413917216556689,0.489502099580084,0.501099780043991,0.838424437299035,0.934896886372827,1
"GO:0099059",0.999800039992002,0.591881623675265,0.39372125574885,0.449710057988402,0.395320935812837,0.965356169715843,0.880591209646052,1
"GO:0099060",0.896420715856829,0.335132973405319,0.376524695060988,0.438512297540492,0.253549290141972,0.792672772689425,0.696421391234419,1
