"geneSet","pvals.mean","pvals.median","pvals.meanabs","pvals.meansqr","pvals.maxmean","pvals.sig_n","pvals.ks_orig","pvals.ks_weighted","sim_brain"
"GO:0007268",0.837032593481304,0.64247150569886,0.799840031993601,0.878024395120976,0.811037792441512,0.77624475104979,0.494225408203903,0.687292358803987,1
"GO:0007416",0.53249350129974,0.509898020395921,0.774445110977804,0.873225354929014,0.899620075984803,0.866026794641072,0.892438334007279,0.593283582089552,1
"GO:0008021",0.127174565086983,0.271945610877824,0.765246950609878,0.755248950209958,0.347730453909218,0.92001599680064,0.278342137342544,0.148411371237458,1
"GO:0014069",0.798440311937612,0.488902219556089,0.575084983003399,0.742851429714057,0.534893021395721,0.764047190561888,0.95,0.944402985074627,1
"GO:0016079",0.531893621275745,0.2625474905019,0.830833833233353,0.961807638472306,0.873425314937013,0.99500099980004,0.383660392470965,0.804858934169279,1
"GO:0030285",0.861027794441112,0.765246950609878,0.767046590681864,0.660667866426715,0.386922615476905,0.809838032393521,0.715981012658228,0.863359089060594,1
"GO:0030672",0.0367926414717057,0.0385922815436913,0.807238552289542,0.752849430113977,0.312937412517497,0.884223155368926,0.0690909090909091,0.0398671096345515,1
"GO:0042734",0.662667466506699,0.566086782643471,0.745650869826035,0.893621275744851,0.888822235552889,0.842231553689262,0.468414779499404,0.765136907057462,1
"GO:0045211",0.624675064987003,0.570085982803439,0.534493101379724,0.613277344531094,0.709458108378324,0.775244951009798,0.931159420289855,0.945054945054945,1
"GO:0048488",0.604479104179164,0.582883423315337,0.751849630073985,0.792241551689662,0.632073585282943,0.634273145370926,0.887576374745418,0.823048630976706,1
"GO:0048786",0.337932413517297,0.131373725254949,0.766846630673865,0.914417116576685,0.739452109578084,0.90501899620076,0.419816951850378,0.662006578947368,1
"GO:0048787",0.410717856428714,0.808038392321536,0.516696660667866,0.634473105378924,0.333333333333333,0.522295540891822,0.644726407613006,0.428395568321707,1
"GO:0050804",0.695260947810438,0.835832833433313,0.704859028194361,0.817036592681464,0.659068186362727,0.70245950809838,0.619904076738609,0.51628664495114,1
"GO:0050808",0.138572285542891,0.17996400719856,0.970605878824235,0.997200559888022,0.971605678864227,0.990801839632074,0.148178137651822,0.51220556745182,1
"GO:0051963",0.44371125774845,0.496900619876025,0.296940611877624,0.391321735652869,0.533293341331734,0.213557288542292,0.595434868162141,0.550860719874804,1
"GO:0060078",0.643471305738852,0.447910417916417,0.154569086182763,0.281343731253749,0.22995400919816,0.135772845430914,0.574226400313357,0.563147792706334,1
"GO:0098839",0.956808638272346,0.645270945810838,0.902219556088782,0.941611677664467,0.819236152769446,0.860827834433113,0.787395293179099,0.920122887864823,1
"GO:0098918",0.121375724855029,0.0895820835832833,0.842431513697261,0.951409718056389,0.912417516496701,0.999800039992002,0.177104108496211,0.258394758394758,1
"GO:0099010",0.657868426314737,0.133173365326935,0.487902419516097,0.631073785242951,0.56128774245151,0.829434113177364,0.538672948566941,0.815622521808089,1
"GO:0099055",0.679464107178564,0.549690061987603,0.579484103179364,0.651869626074785,0.736052789442112,0.778444311137772,0.949760765550239,0.962916666666667,1
"GO:0099056",0.674265146970606,0.289142171565687,0.597680463907219,0.792241551689662,0.766046790641872,0.748450309938012,0.585365853658537,0.791195948578107,1
"GO:0099059",0.986402719456109,0.525294941011798,0.520895820835833,0.577284543091382,0.418116376724655,0.501899620075985,0.924395946999221,0.687525232135648,1
"GO:0099060",0.94121175764847,0.452109578084383,0.381123775244951,0.454709058188362,0.0331933613277345,0.213957208558288,0.746,0.475686274509804,1
"GO:0099061",0.929414117176565,0.496100779844031,0.813637272545491,0.870425914817037,0.78624275144971,0.79244151169766,0.908720456397718,0.888846593071945,1
"GO:0099072",0.0437912417516497,0.0105978804239152,0.617876424715057,0.848230353929214,0.807638472305539,0.925814837032593,0.0579355365157079,0.161872048089309,1
"GO:0099092",0.239352129574085,0.145570885822835,0.507298540291942,0.627874425114977,0.146770645870826,0.848830233953209,0.313238770685579,0.245939675174014,1
"GO:0099171",0.454909018196361,0.276744651069786,0.35252949410118,0.414917016596681,0.275744851029794,0.457108578284343,0.852327447833066,0.670056956875509,1
"GO:0099173",0.17996400719856,0.206358728254349,0.98380323935213,0.998000399920016,0.976404719056189,0.996400719856029,0.0724165988608625,0.406379453189727,1
"GO:0099175",0.121375724855029,0.23255348930214,0.970805838832234,0.991801639672066,0.949210157968406,0.992801439712058,0.0547162106982442,0.229684908789386,1
"GO:0099188",0.500499900019996,0.725454909018196,0.802839432113577,0.91621675664867,0.574885022995401,0.999800039992002,0.651472367890278,0.531020408163265,1
"GO:0099504",0.0999800039992002,0.0827834433113377,0.803639272145571,0.948610277944411,0.293141371725655,0.953009398120376,0.186795491143317,0.17034834324554,1
"GO:0099505",0.163167366526695,0.116376724655069,0.267746450709858,0.382123575284943,0.37372525494901,0.141571685662867,0.151949085123309,0.146067415730337,1
"GO:0099509",0.28994201159768,0.0875824835032993,0.358528294341132,0.615476904619076,0.618076384723055,0.618076384723055,0.123577873675951,0.524472741742937,1
"GO:0099523",0.15376924615077,0.0847830433913217,0.723055388922216,0.851629674065187,0.640071985602879,0.802239552089582,0.0997634069400631,0.138769110152881,1
"GO:0099531",0.454909018196361,0.276744651069786,0.35252949410118,0.414917016596681,0.275744851029794,0.457108578284343,0.852327447833066,0.670056956875509,1
"GO:0099536",0.377924415116977,0.78244351129774,0.829234153169366,0.918416316736653,0.821035792841432,0.976804639072186,0.211667323610564,0.543632567849687,1
"GO:0099537",0.437912417516497,0.839632073585283,0.748250349930014,0.850629874025195,0.670265946810638,0.785242951409718,0.303281929616449,0.434056761268781,1
"GO:0099560",0.365926814637073,0.486702659468106,0.742651469706059,0.713257348530294,0.595080983803239,0.51129774045191,0.61624649859944,0.589795098433106,1
"GO:0099563",0.478904219156169,0.101979604079184,0.42371525694861,0.571685662867427,0.466706658668266,0.775244951009798,0.34594383775351,0.651587301587302,1
"GO:0099572",0.694861027794441,0.374725054989002,0.569086182763447,0.771045790841832,0.340931813637273,0.44751049790042,0.806464646464646,0.94220081511671,1
"GO:0099634",0.699660067986403,0.262347530493901,0.390321935612877,0.480903819236153,0.0261947610477904,0.202359528094381,0.473015873015873,0.603263032232392,1
"GO:0099645",0.0659868026394721,0.0783843231353729,0.474905018996201,0.617276544691062,0.544891021795641,0.371125774845031,0.115494103294022,0.0728314238952537,1
"GO:1904315",0.360327934413117,0.241551689662068,0.134173165366927,0.241351729654069,0.232753449310138,0.163167366526695,0.420946219167004,0.449733278621256,1
"GO:1905606",0.536892621475705,0.568886222755449,0.268146370725855,0.350529894021196,0.551689662067587,0.0463907218556289,0.629096722621903,0.507274872198191,1
