label,UKB_DIFF,ENIGMA_DIFF,SCZ,OCD,BD,MDD,CHR,PD,EPI,LIFE_AGE,young_age_r,middle_age_r,old_age_r,
R_cuneus_thickavg,-0.063603604,-0.270926283,-0.226,-0.033,-0.029,0.049,-0.05,-0.147,-0.204,0.31,-0.415,-0.169,-0.145,
R_entorhinal_thickavg,-0.047383383,-0.1009611,-0.15,0.014,-0.084,-0.055,-0.06,-0.136,-0.161,0.02,0.024,-0.002,-0.212,
R_fusiform_thickavg,-0.322225642,-0.391726542,-0.536,-0.089,-0.267,-0.116,-0.11,-0.167,-0.116,0.32,-0.367,-0.2,-0.235,
R_inferiorparietal_thickavg,-0.409278176,-0.330250683,-0.348,-0.14,-0.258,-0.041,-0.11,-0.255,-0.171,0.48,-0.52,-0.235,-0.255,
R_inferiortemporal_thickavg,-0.269841126,-0.232503781,-0.439,-0.059,-0.189,-0.117,-0.15,-0.187,-0.072,0.23,-0.32,-0.121,-0.153,
R_isthmuscingulate_thickavg,-0.170393667,-0.316588102,-0.308,-0.052,-0.183,-0.071,-0.06,-0.209,0.009,0.33,-0.372,-0.24,-0.11,
R_lateraloccipital_thickavg,-0.175106318,-0.307263578,-0.342,-0.072,-0.219,0.005,-0.16,-0.2,-0.199,0.28,-0.382,-0.109,-0.254,
R_lateralorbitofrontal_thickavg,-0.135429735,-0.217926782,-0.358,-0.108,-0.207,-0.12,-0.09,-0.193,-0.109,0.36,-0.447,-0.207,-0.017,
R_lingual_thickavg,-0.259208183,-0.227640099,-0.386,-0.044,-0.197,-0.012,-0.01,-0.128,-0.162,0.38,-0.426,-0.223,-0.192,
R_medialorbitofrontal_thickavg,-0.278516808,-0.136200434,-0.244,-0.102,-0.23,-0.131,-0.11,-0.09,-0.053,0.3,-0.426,-0.177,0.032,
R_middletemporal_thickavg,-0.31731337,-0.206350167,-0.379,-0.098,-0.219,-0.088,-0.18,-0.18,-0.124,0.37,-0.403,-0.213,-0.168,
