"geneSet","mean","median","meanabs","meansqr","maxmean","sig_n","sign_test","rank_sum","ks_orig","ks_weighted"
"Astrocyte",0.857142857142857,0.857142857142857,0,0,0,0,1,0,0.857142857142857,0.857142857142857
"CA1.Pyramidal",1,1,0.428571428571429,0.428571428571429,0.428571428571429,0.428571428571429,1,0,1,1
"Endothelial",0,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0,0,0,0
"Ependymal",0.142857142857143,0.285714285714286,0,0,0.142857142857143,0.142857142857143,0,0,0.285714285714286,0.142857142857143
"Interneuron",0,0,0,0,0,0,0,0,0,0
"Microglia",0.714285714285714,0.714285714285714,0.142857142857143,0.142857142857143,0.142857142857143,0,0.714285714285714,0,0.714285714285714,0.571428571428571
"Mural",0,0,0.142857142857143,0.142857142857143,0.285714285714286,0.142857142857143,0,0,0,0
"Oligodendrocyte",0.142857142857143,0.142857142857143,0,0,0,0,0.142857142857143,0,0,0.142857142857143
"S1.Pyramidal",0.428571428571429,0.285714285714286,0,0,0.142857142857143,0,0.142857142857143,0,0.428571428571429,0.428571428571429
