"pvals.mean","pvals.median","pvals.meanabs","pvals.meansqr","pvals.maxmean","pvals.sig_n","pvals.sign_test","pvals.rank_sum","pvals.ks_orig","pvals.ks_weighted","geneSet"
0.000355745286374956,0.00116822429906542,0.265146970605879,0.290541891621676,0.252024619371558,0.353329334133173,0.000223264121455682,1,0.00040983606557377,0.000371333085777943,"Astrocyte"
0.000337837837837838,0.00190041809198024,0.365526894621076,0.215156968606279,0.362350046139649,0.376724655068986,0.000239578342117873,1,0.000403877221324717,0.000364697301239971,"CA1.Pyramidal"
0.515539305301645,0.55838198498749,0.871825634873025,0.78004399120176,0.873364730507588,0.91621675664867,1,0.717256548690262,0.600239616613419,0.743523316062176,"Endothelial"
0.152985074626866,0.116296863045142,0.453509298140372,0.478304339132174,0.26890756302521,0.152769446110778,0.491727332892124,0.777644471105779,0.19367434595861,0.120170152428217,"Ependymal"
0.606650831353919,0.626951520131471,0.876824635072985,0.898620275944811,0.93859649122807,0.979604079184163,0.828930272845388,0.725454909018196,0.187255668491009,0.648042234931808,"Interneuron"
0.00139616055846422,0.018875047187618,0.31753649270146,0.434313137372525,0.157095709570957,0.344131173765247,0.0154370034052213,0.99880023995201,0.00194024058983314,0.00617732558139535,"Microglia"
0.454150054367524,0.317233384853168,0.698060387922416,0.776044791041792,0.819133745835317,0.907818436312737,0.763847230553889,0.655468906218756,0.85136217948718,0.828160484481453,"Mural"
0.234928229665072,0.29734219269103,0.63627274545091,0.530693861227754,0.840217739353186,0.478304339132174,0.274938629770141,0.603679264147171,0.170403587443946,0.333483551149166,"Oligodendrocyte"
0.0753098188751192,0.00873180873180873,0.352129574085183,0.499900019996001,0.432463110102157,0.472905418916217,0.195187822244046,0.783643271345731,0.0249096022498996,0.120874219446922,"S1.Pyramidal"
0.000278473962684489,0.000815328169588259,0.099380123975205,0.0949810037992402,0.178433060697374,0.238152369526095,0.000445533526397861,0.999800039992002,0.000397614314115308,0.000300932891965092,"Astrocyte"
0.000258397932816537,0.00128259940145361,0.273145370925815,0.210557888422316,0.484298531810767,0.385722855428914,0.000238435860753457,1,0.00040766408479413,0.000282965478211658,"CA1.Pyramidal"
0.651547876169906,0.61658232775399,0.535092981403719,0.491701659668066,0.757075471698113,0.742251549690062,0.740647118301314,0.261947610477904,0.621182070606902,0.697258641239571,"Endothelial"
0.121030713170224,0.231435643564356,0.0933813237352529,0.117976404719056,0.073019801980198,0.208158368326335,0.489384985773692,0.723655268946211,0.114003944773176,0.0658716638273708,"Ependymal"
0.726732161323681,0.599626168224299,0.794641071785643,0.872025594881024,0.76241062308478,0.924015196960608,1,0.601479704059188,0.555599525128611,0.952597218279875,"Interneuron"
0.00028587764436821,0.00610749185667752,0.0021995600879824,0.000599880023995201,0.00938454823221301,0.132173565286943,0.00603217158176944,0.996400719856029,0.000791452314998021,0.000302571860816944,"Microglia"
0.496206373292868,0.61489446435683,0.484303139372126,0.524295140971806,0.551932367149758,0.362327534493101,0.774845030993801,0.387722455508898,0.727697701597195,0.686168521462639,"Mural"
0.274454609429979,0.349182198554583,0.853029394121176,0.775444911017796,0.97732135216089,0.943411317736453,0.405054797584433,0.555488902219556,0.233791748526523,0.300653594771242,"Oligodendrocyte"
0.0230237912509593,0.0204475308641975,0.326734653069386,0.469306138772246,0.390909090909091,0.145970805838832,0.0721700444883836,0.753849230153969,0.0337213970293055,0.0373366521468575,"S1.Pyramidal"
0.0756936067551267,0.0839931153184165,0.918016396720656,0.963207358528294,0.959021226415094,1,0.0232558139534884,0.984803039392122,0.0705310093230645,0.26374006221915,"Astrocyte"
0.000834260289210234,0.000334336342360415,0.0575884823035393,0.0955808838232353,0.0980243161094225,0.512097580483903,0.000235737859500236,0.998400319936013,0.000405022276225192,0.00133689839572193,"CA1.Pyramidal"
0.485419198055893,0.98670465337132,0.976604679064187,0.78124375124975,0.939353988134476,0.174165166966607,1,0.894021195760848,0.0647887323943662,0.473039215686274,"Endothelial"
0.782485875706215,0.2717277486911,0.516696660667866,0.438912217556489,0.602799890200384,0.335532893421316,0.651685393258427,0.288342331533693,0.746490503715937,0.612286002014099,"Ependymal"
0.785734503255024,0.105600539811066,0.0871825634873025,0.218156368726255,0.190958690568979,0.674465106978604,0.677622986504136,0.0585882823435313,0.338392124692371,0.633990147783251,"Interneuron"
0.107330652644603,0.222183588317107,0.797640471905619,0.795240951809638,0.446481371969249,1,0.537752808988764,0.958008398320336,0.130382775119617,0.237815416522641,"Microglia"
0.409120521172638,0.633903133903134,0.0337932413517297,0.0233953209358128,0.0475728155339806,0.0023995200959808,0.320935812837432,0.144771045790842,0.453493013972056,0.171489817792069,"Mural"
0.527315914489311,0.659831932773109,0.583083383323335,0.492101579684063,0.759941944847605,0.422115576884623,0.590274651058082,0.512697460507898,0.999207920792079,0.815629228687415,"Oligodendrocyte"
0.00524322749781532,0.289286921257181,0.237952409518096,0.185362927414517,0.0184667039731393,1,0.296278158667973,0.981803639272146,0.0653983353151011,0.00202634245187437,"S1.Pyramidal"
0.000285143997718848,0.000683994528043776,0.164367126574685,0.228154369126175,0.114025974025974,0.140171965606879,0.000892458723784025,0.999800039992002,0.00117600940807526,0.000317762948840165,"Astrocyte"
0.000261437908496732,0.00032605151613955,0.0401919616076785,0.00939812037592481,0.0140977443609023,0.017996400719856,0.000236406619385343,1,0.000392156862745098,0.000298864315600717,"CA1.Pyramidal"
0.663455362877328,0.447036864209053,0.550089982003599,0.780243951209758,0.820420728578758,0.889222155568886,1,0.2749450109978,0.477129337539432,0.773234200743494,"Endothelial"
