"","region","Ntot","Ncases.controls","b_diag","empty1","se_diag","empty2","t_diag","empty3","p_diag","empty4","cohensd.ci","BF10","mcc","drug","p_adj_cross_substance","mcc_cross_substance"
"53","lingual_thickavg",1765,"761/1004",-0.00196059846735948,NA,0.00153972757386325,NA,-1.27334114205687,NA,0.203004362139027,NA,"-0.049(-0.14,0.05)",0.0425231612546293,"no","alc",0.905527542249451,"no"
"54","medialorbitofrontal_thickavg",1763,"760/1003",-0.00442345209309041,NA,0.00300601329755243,NA,-1.47153443954892,NA,0.141260852947633,NA,"-0.057(-0.15,0.04)",0.0558595698248396,"no","alc",0.905527542249451,"no"
"55","middletemporal_thickavg",1754,"761/993",-0.00410981139792946,NA,0.00199140242777544,NA,-2.06377743674867,NA,0.0391329894758909,NA,"-0.08(-0.17,0.01)",0.136685440282215,"no","alc",0.905527542249451,"no"
"56","parahippocampal_thickavg",1763,"761/1002",-0.00246286130449147,NA,0.00309807575384192,NA,-0.794964842753532,NA,0.426702481697887,NA,"-0.031(-0.12,0.06)",0.0259937591842425,"no","alc",0.905527542249451,"no"
"57","paracentral_thickavg",1765,"761/1004",-0.00240515729581789,NA,0.00190046483700398,NA,-1.26556263972216,NA,0.205776648836742,NA,"-0.049(-0.14,0.05)",0.042205425986806,"no","alc",0.905527542249451,"no"
"58","parsopercularis_thickavg",1760,"761/999",-0.00212650127869765,NA,0.00216980427235153,NA,-0.9800429033136,NA,0.327151181123944,NA,"-0.038(-0.13,0.06)",0.0302681433421518,"no","alc",0.905527542249451,"no"
"59","parsorbitalis_thickavg",1763,"761/1002",0.0049809812423171,NA,0.00340171271564352,NA,1.46425687842802,NA,0.143237866895342,NA,"0.056(-0.04,0.15)",0.0544519343113574,"no","alc",0.905527542249451,"no"
"60","parstriangularis_thickavg",1765,"761/1004",-0.00120434980462643,NA,0.00263529829945211,NA,-0.457007013163109,NA,0.647702035960739,NA,"-0.018(-0.11,0.08)",0.0210110241301188,"no","alc",0.916392513173315,"no"
"61","pericalcarine_thickavg",1764,"760/1004",-0.00150483014214467,NA,0.00261643306843008,NA,-0.57514566693946,NA,0.56523973475404,NA,"-0.022(-0.12,0.07)",0.0220826740252536,"no","alc",0.905527542249451,"no"
"62","postcentral_thickavg",1766,"761/1005",0.000171280146306336,NA,0.0016303904351067,NA,0.105054680534314,NA,0.916340059199373,NA,"0.004(-0.09,0.1)",0.0190302146524534,"no","alc",0.977801892438355,"no"
"63","posteriorcingulate_thickavg",1765,"761/1004",-0.000735971926136336,NA,0.00230751279194023,NA,-0.318945978850894,NA,0.749791639016289,NA,"-0.012(-0.11,0.08)",0.0198991910636116,"no","alc",0.945605846541888,"no"
"64","precentral_thickavg",1764,"761/1003",0.00132158487472379,NA,0.00157663502091961,NA,0.83823133267263,NA,0.401973483203347,NA,"0.032(-0.06,0.13)",0.0269134263822423,"no","alc",0.905527542249451,"no"
"65","precuneus_thickavg",1763,"761/1002",-0.000769234122471985,NA,0.00153745829106205,NA,-0.500328449196895,NA,0.616883817068372,NA,"-0.019(-0.11,0.07)",0.0214726840322508,"no","alc",0.905527542249451,"no"
"66","rostralanteriorcingulate_thickavg",1764,"761/1003",-0.00464138531631588,NA,0.00371919587013151,NA,-1.24795398747089,NA,0.212154000964724,NA,"-0.048(-0.14,0.05)",0.0407855801160665,"no","alc",0.905527542249451,"no"
"67","rostralmiddlefrontal_thickavg",1764,"761/1003",0.0023405039045023,NA,0.0019098925041673,NA,1.22546368415784,NA,0.220505278173364,NA,"0.047(-0.05,0.14)",0.0401858816711306,"no","alc",0.905527542249451,"no"
"68","superiorfrontal_thickavg",1765,"761/1004",-0.00127943341519143,NA,0.00132112194013593,NA,-0.968444604787795,NA,0.332907319034744,NA,"-0.037(-0.13,0.06)",0.0302921420583578,"no","alc",0.905527542249451,"no"
"69","superiorparietal_thickavg",1766,"761/1005",-0.00184134232564582,NA,0.00128823641656552,NA,-1.42935124482422,NA,0.153016558533878,NA,"-0.055(-0.15,0.04)",0.0521777502326658,"no","alc",0.905527542249451,"no"
"70","superiortemporal_thickavg",1743,"759/984",-0.00130848496900411,NA,0.00176093405696009,NA,-0.743063014672424,NA,0.457507607360624,NA,"-0.029(-0.12,0.07)",0.0250983418387226,"no","alc",0.905527542249451,"no"
"71","supramarginal_thickavg",1749,"760/989",0.0007356305296585,NA,0.00185359820707121,NA,0.396866228534413,NA,0.69149702851145,NA,"0.015(-0.08,0.11)",0.0205420222829405,"no","alc",0.92375557243896,"no"
"72","frontalpole_thickavg",1765,"761/1004",0.00329674780355059,NA,0.00429106322836592,NA,0.768282271339549,NA,0.442385305075664,NA,"0.03(-0.06,0.12)",0.0254430465583197,"no","alc",0.905527542249451,"no"
"73","temporalpole_thickavg",1765,"761/1004",0.00778337651413794,NA,0.00381979739208895,NA,2.03764119276531,NA,0.041681118430206,NA,"0.078(-0.02,0.17)",0.150992139721689,"no","alc",0.905527542249451,"no"
"74","transversetemporal_thickavg",1766,"761/1005",-0.00379279706827938,NA,0.00310028211171359,NA,-1.22337159381377,NA,0.22129388942919,NA,"-0.047(-0.14,0.05)",0.0351060980538509,"no","alc",0.905527542249451,"no"
"75","insula_thickavg",1764,"761/1003",-0.00246131287187217,NA,0.00192610938031422,NA,-1.27786765228808,NA,0.201403794624893,NA,"-0.049(-0.14,0.05)",0.0427884533276662,"no","alc",0.905527542249451,"no"
"76","Thickness",1766,"761/1005",-0.00063046001034561,NA,0.00054156613060134,NA,-1.16414224361772,NA,0.244467064474871,NA,"-0.045(-0.14,0.05)",0.0372125438328156,"no","alc",0.905527542249451,"no"
"77","SurfArea",1766,"761/1005",0.000886754675528228,NA,0.000567206668990191,NA,1.56337138473166,NA,0.118079993852701,NA,"0.06(-0.03,0.15)",0.0620124530707068,"no","alc",0.618659105308735,"no"
