"","contrast","t.ratio","p.value"
"1","ctl - alc",3.311,0.014
"2","ctl - nic",2.65,0.059
"3","ctl - coc",2.006,0.109
"4","ctl - met",-0.906,0.548
"5","ctl - can",-0.037,0.979
"6","alc - nic",-0.364,0.895
"7","alc - coc",0.026,0.979
"8","alc - met",-2.52,0.059
"9","alc - can",-1.953,0.109
"10","nic - coc",0.264,0.913
"11","nic - met",-2.256,0.091
"12","nic - can",-1.659,0.182
"13","coc - met",-2.126,0.101
"14","coc - can",-1.556,0.2
"15","met - can",0.717,0.646
