"","region","Ntot","Ncases.controls","b_diag","empty1","se_diag","empty2","t_diag","empty3","p_diag","empty4","cohensd.ci","BF10","mcc","drug","p_adj_cross_substance","mcc_cross_substance"
"66","rostralanteriorcingulate_thickavg",1194,"191/1003",0.000227112729412557,NA,0.00563426368264899,NA,0.0403092120292422,NA,0.967849531428738,NA,"0.002(-0.15,0.16)",0.0189542848257442,"no","coc",0.981408152268711,"no"
"67","rostralmiddlefrontal_thickavg",1194,"191/1003",-0.00155582278694394,NA,0.00293996505290328,NA,-0.529197714580835,NA,0.596710921453656,NA,"-0.027(-0.18,0.13)",0.0217851435475237,"no","coc",0.905527542249451,"no"
"68","superiorfrontal_thickavg",1195,"191/1004",-0.00307339840705832,NA,0.00203304477379962,NA,-1.5117219486093,NA,0.130719220063467,NA,"-0.079(-0.23,0.08)",0.0594964995122938,"no","coc",0.905527542249451,"no"
"69","superiorparietal_thickavg",1196,"191/1005",-6.77338638263204e-05,NA,0.00190768691009111,NA,-0.0355057548846343,NA,0.971679026974589,NA,"-0.002(-0.16,0.15)",0.0189371299395405,"no","coc",0.981408152268711,"no"
"70","superiortemporal_thickavg",1175,"191/984",0.00180710471484782,NA,0.00261283006602944,NA,0.691627342452455,NA,0.489230327503254,NA,"0.036(-0.12,0.19)",0.0241338939824469,"no","coc",0.905527542249451,"no"
"71","supramarginal_thickavg",1180,"191/989",0.00295636639674904,NA,0.00277832480729447,NA,1.06408235242587,NA,0.287385192948077,NA,"0.055(-0.1,0.21)",0.0335002417623899,"no","coc",0.905527542249451,"no"
"72","frontalpole_thickavg",1195,"191/1004",-0.00299790710062717,NA,0.00633427495948473,NA,-0.473283385991669,NA,0.636048483360356,NA,"-0.025(-0.18,0.13)",0.0211776644475097,"no","coc",0.916392513173315,"no"
"73","temporalpole_thickavg",1195,"191/1004",0.00431215898128648,NA,0.00563490863760995,NA,0.765258011905493,NA,0.444183423069572,NA,"0.04(-0.11,0.19)",0.0252062345231311,"no","coc",0.905527542249451,"no"
"74","transversetemporal_thickavg",1196,"191/1005",0.00273713463038614,NA,0.0046069397250879,NA,0.594132937203539,NA,0.552471931607382,NA,"0.031(-0.12,0.19)",0.022510122122362,"no","coc",0.905527542249451,"no"
"75","insula_thickavg",1194,"191/1003",0.00186474772490401,NA,0.00286658051001915,NA,0.650512943343619,NA,0.515415207590791,NA,"0.034(-0.12,0.19)",0.0234018491571276,"no","coc",0.905527542249451,"no"
"76","Thickness",1196,"191/1005",0.000257831003003664,NA,0.000810149976455032,NA,0.318250954140434,NA,0.750318680258134,NA,"0.017(-0.14,0.17)",0.0198753618541395,"no","coc",0.945605846541888,"no"
"77","SurfArea",1196,"191/1005",-0.000143225694590451,NA,0.000852125477850234,NA,-0.168080521370848,NA,0.866532256916552,NA,"-0.009(-0.16,0.15)",0.0191926743488377,"no","coc",0.9924401709022,"no"
