"","contrast","t.ratio","p.value"
"1","ctl - alc",1.188,0.397
"2","ctl - nic",-0.075,0.94
"3","ctl - coc",-0.589,0.684
"4","ctl - met",1.321,0.397
"5","ctl - can",2.912,0.054
"6","alc - nic",-0.958,0.501
"7","alc - coc",-1.229,0.397
"8","alc - met",0.47,0.684
"9","alc - can",1.662,0.362
"10","nic - coc",-0.473,0.684
"11","nic - met",1.179,0.397
"12","nic - can",2.48,0.07
"13","coc - met",1.393,0.397
"14","coc - can",2.458,0.07
"15","met - can",0.902,0.501
