"geneSet","pvals.mean","pvals.median","pvals.meanabs","pvals.meansqr","pvals.maxmean","pvals.ks_orig","pvals.ks_weighted","sim_brain"
"GO:0007268",0.996274834437086,0.980132450331126,0.787251655629139,0.85637417218543,0.864652317880795,0.977349943374858,0.984685195689166,1
"GO:0007416",0.968006398720256,0.948810237952409,0.733253349330134,0.832033593281344,0.889022195560888,0.993530499075786,0.95834628535903,1
"GO:0008021",0.984848484848485,0.984848484848485,0.878787878787879,0.878787878787879,0.5,1,1,1
"GO:0014069",0.963207358528294,0.882823435312937,0.484303139372126,0.644671065786843,0.477304539092182,0.995942028985507,0.958782498414712,1
"GO:0016079",0.849630073985203,0.612077584483103,0.743051389722056,0.931013797240552,0.810837832433513,0.741861531407611,0.883408071748879,1
"GO:0030285",0.995676500508647,0.991098677517803,0.82527975584944,0.740844354018311,0.459816887080366,0.990266060999351,0.99538784067086,1
"GO:0030672",0.933333333333333,0.866666666666667,0.866666666666667,0.866666666666667,0.466666666666667,1,0.909090909090909,1
"GO:0042734",0.977139261744966,0.966023489932886,0.692743288590604,0.849203020134228,0.878355704697987,0.964971063052086,0.953784326858674,1
"GO:0045211",0.945610877824435,0.913617276544691,0.487302539492102,0.579484103179364,0.652669466106779,0.991412213740458,0.991045730732331,1
"GO:0048488",0.93121375724855,0.905818836232753,0.719256148770246,0.752649470105979,0.568886222755449,0.986647926914968,0.956429330499469,1
"GO:0048786",0.983649444081099,0.903858731196861,0.742969260954872,0.902550686723349,0.739699149771092,0.984805318138651,0.985768500948767,1
"GO:0048787",0.968006398720256,0.991001799640072,0.493101379724055,0.598680263947211,0.29874025194961,0.983486821213084,0.943648519579752,1
"GO:0050804",0.932613477304539,0.946810637872425,0.638672265546891,0.764047190561888,0.644271145770846,0.892066734763364,0.839446366782007,1
"GO:0050808",0.982758620689655,0.982758620689655,0.948275862068966,0.96551724137931,0.96551724137931,1,1,1
"GO:0051963",0.730853829234153,0.722055588882224,0.248350329934013,0.305738852229554,0.490101979604079,0.816835871404399,0.712448132780083,1
"GO:0060078",0.876424715056989,0.710857828434313,0.114377124575085,0.189162167566487,0.177764447110578,0.810563072893933,0.74429616874731,1
"GO:0098839",0.996000799840032,0.95500899820036,0.882423515296941,0.925814837032593,0.825834833033393,0.965902738960313,0.980512249443207,1
"GO:0098918",0.395520895820836,0.246150769846031,0.78004399120176,0.919816036792641,0.871625674865027,0.496887586964482,0.522535727372664,1
"GO:0099010",0.674265146970606,0.0987802439512098,0.436112777444511,0.589282143571286,0.499700059988002,0.547315565855543,0.7734375,1
"GO:0099055",0.943411317736453,0.874225154969006,0.537692461507698,0.629074185162967,0.67126574685063,0.989656322989656,0.982826300294406,1
"GO:0099056",0.985674792661473,0.928373963307364,0.546619753706962,0.743654184468459,0.788137723045992,0.977030352748154,0.974673202614379,1
"GO:0099059",0.999600079984003,0.935612877424515,0.513497300539892,0.555088982203559,0.39372125574885,0.997002997002997,0.962863834058213,1
"GO:0099060",0.95620875824835,0.641671665666867,0.328134373125375,0.366926614677065,0.0165966806638672,0.867001254705144,0.650793650793651,1
