"geneSet","pvals.mean","pvals.median","pvals.meanabs","pvals.meansqr","pvals.maxmean","pvals.sig_n","pvals.ks_orig","pvals.ks_weighted","sim_brain"
"GO:0007268",0.848230353929214,0.421515696860628,0.00819836032793441,0.00879824035192961,0.0125974805038992,0.0101979604079184,0.67498051441933,0.900731050404002,1
"GO:0007416",0.533493301339732,0.235752849430114,0.00899820035992801,0.0115976804639072,0.01999600079984,0.0151969606078784,0.954580152671756,0.872146118721461,1
"GO:0008021",0.281343731253749,0.195560887822436,0.0115976804639072,0.010997800439912,0.00579884023195361,0.0193961207758448,0.735697940503433,0.671143514965464,1
"GO:0014069",0.805838832233553,0.239552089582084,0.00839832033593281,0.00859828034393121,0.0107978404319136,0.0123975204959008,0.97226443768997,0.983579638752053,1
"GO:0016079",0.411517696460708,0.0511897620475905,0.0157968406318736,0.0203959208158368,0.0243951209758048,0.0359928014397121,0.543737166324435,0.903359601824969,1
"GO:0030285",0.861427714457109,0.633273345330934,0.01499700059988,0.00799840031993601,0.00359928014397121,0.0173965206958608,0.871825876662636,0.939405785770133,1
"GO:0030672",0.159168166366727,0.0531893621275745,0.0177964407118576,0.013997200559888,0.00719856028794241,0.0185962807438512,0.544356360890902,0.553119092627599,1
"GO:0042734",0.680263947210558,0.337332533493301,0.0133973205358928,0.0143971205758848,0.0255948810237952,0.0167966406718656,0.768895924020578,0.930661322645291,1
"GO:0045211",0.593881223755249,0.314737052589482,0.0105978804239152,0.0101979604079184,0.0145970805838832,0.015996800639872,0.965503568596352,0.988019169329074,1
"GO:0048488",0.504099180163967,0.280943811237752,0.028994201159768,0.0257948410317936,0.0245950809838032,0.026994601079784,0.922662562524048,0.890463423975488,1
"GO:0048786",0.389522095580884,0.0369926014797041,0.0115976804639072,0.0135972805438912,0.0143971205758848,0.0167966406718656,0.691006917755573,0.87842987804878,1
"GO:0048787",0.392921415716857,0.687662467506499,0.0123975204959008,0.0121975604879024,0.00879824035192961,0.0151969606078784,0.798470363288719,0.759765625,1
"GO:0050804",0.587882423515297,0.605078984203159,0.00799840031993601,0.00959808038392321,0.00959808038392321,0.00959808038392321,0.63125481139338,0.781165573137785,1
"GO:0050808",0.336332733453309,0.144171165766847,0.00939812037592481,0.012997400519896,0.0147970405918816,0.0131973605278944,0.627131782945736,0.902006172839506,1
"GO:0051963",0.229154169166167,0.114177164567087,0.00719856028794241,0.00699860027994401,0.013997200559888,0.00579884023195361,0.63695038321904,0.748333333333333,1
"GO:0060078",0.473905218956209,0.157368526294741,0.0101979604079184,0.0105978804239152,0.0135972805438912,0.0137972405518896,0.796499796499797,0.755036261079774,1
"GO:0098839",0.948610277944411,0.410117976404719,0.0141971605678864,0.0141971605678864,0.015996800639872,0.0155968806238752,0.838091353996737,0.969647251845775,1
"GO:0098918",0.0225954809038192,0.00799840031993601,0.0281943611277744,0.0371925614877025,0.0463907218556289,0.999800039992002,0.25958930647036,0.474569640062598,1
