"geneSet","pvals.mean","pvals.median","pvals.meanabs","pvals.meansqr","pvals.maxmean","pvals.ks_orig","pvals.ks_weighted","sim_brain"
"GO:0007268",0.899220155968806,0.637272545490902,0.757648470305939,0.782643471305739,0.801639672065587,0.545325275506577,0.684210526315789,1
"GO:0007416",0.533493301339732,0.552089582083583,0.723655268946211,0.787642471505699,0.872825434913017,0.922879177377892,0.54992657856094,1
"GO:0008021",0.117576484703059,0.329534093181364,0.744851029794041,0.670265946810638,0.250549890021996,0.326292789512017,0.123749536865506,1
"GO:0014069",0.793841231753649,0.507698460307938,0.466706658668266,0.509498100379924,0.405918816236753,0.982273201251303,0.899813606710158,1
"GO:0016079",0.506698660267946,0.316336732653469,0.75624875024995,0.912217556488702,0.80623875224955,0.337188612099644,0.669881630863656,1
"GO:0030285",0.831033793241352,0.778844231153769,0.795640871825635,0.643871225754849,0.373925214957009,0.720851063829787,0.861347792408985,1
"GO:0030672",0.0323935212957408,0.0589882023595281,0.797240551889622,0.674265146970606,0.219156168766247,0.0941949616648412,0.0247191011235955,1
"GO:0042734",0.608878224355129,0.571085782843431,0.66626674665067,0.783043391321736,0.839232153569286,0.541184971098266,0.572241681260946,1
"GO:0045211",0.655268946210758,0.569886022795441,0.464107178564287,0.477304539092182,0.589082183563287,0.955967976710335,0.956068503350707,1
"GO:0048488",0.578084383123375,0.621875624875025,0.718456308738252,0.702659468106379,0.534893021395721,0.905278921752153,0.784039334341906,1
"GO:0048786",0.320135972805439,0.188562287542491,0.685462907418516,0.842631473705259,0.637672465506899,0.462264150943396,0.564516129032258,1
"GO:0048787",0.419716056788642,0.813437312537493,0.449710057988402,0.513097380523895,0.241551689662068,0.69296613323409,0.397909667786488,1
"GO:0050804",0.732653469306139,0.827634473105379,0.64627074585083,0.70745850829834,0.614477104579084,0.647531992687386,0.503348214285714,1
"GO:0050808",0.126174765046991,0.255748850229954,0.953209358128374,0.986402719456109,0.949410117976405,0.204387186629526,0.417276210379659,1
"GO:0051963",0.436712657468506,0.550689862027595,0.247950409918016,0.25494901019796,0.492101579684063,0.575186321788689,0.460453185121847,1
"GO:0060078",0.642271545690862,0.496100779844031,0.0971805638872226,0.128574285142971,0.162967406518696,0.532407407407407,0.448887056883759,1
"GO:0098839",0.967406518696261,0.657068586282743,0.883223355328934,0.896020795840832,0.776644671065787,0.764434180138568,0.875112714156898,1
"GO:0098918",0.104579084183163,0.108178364327135,0.790841831633673,0.908618276344731,0.879024195160968,0.186940298507463,0.211068702290076,1
"GO:0099010",0.614277144571086,0.17376524695061,0.439512097580484,0.530693861227754,0.484703059388122,0.549906542056075,0.72263868065967,1
"GO:0099055",0.710057988402319,0.5624875024995,0.519896020795841,0.535892821435713,0.630073985202959,0.955118694362018,0.941048981361075,1
"GO:0099056",0.629074185162967,0.359528094381124,0.506098780243951,0.648070385922815,0.737852429514097,0.555555555555556,0.641608391608392,1
"GO:0099059",0.99880023995201,0.549690061987603,0.472705458908218,0.457308538292342,0.327134573085383,0.937874251497006,0.640636846095527,1
"GO:0099060",0.886822635472905,0.491501699660068,0.316336732653469,0.309738052389522,0.0147970405918816,0.71964586846543,0.418189368770764,1
"GO:0099061",0.913017396520696,0.524295140971806,0.769446110777844,0.783443311337732,0.728854229154169,0.921456622634773,0.824,1
"GO:0099072",0.0387922415516897,0.023995200959808,0.502699460107978,0.683663267346531,0.72745450909818,0.0927200289750091,0.133113311331133,1
"GO:0099092",0.256148770245951,0.159168166366727,0.443311337732454,0.504499100179964,0.0937812437512497,0.281088082901554,0.189326556543837,1
"GO:0099171",0.501099780043991,0.331133773245351,0.301539692061588,0.346530693861228,0.245550889822036,0.865655070318283,0.679202707784882,1
"GO:0099173",0.176564687062587,0.233553289342132,0.980603879224155,0.99500099980004,0.97380523895221,0.0836772983114447,0.360723709008669,1
"GO:0099175",0.10997800439912,0.254349130173965,0.960807838432314,0.992001599680064,0.936412717456509,0.0590026646364675,0.202294455066922,1
"GO:0099188",0.484903019396121,0.728854229154169,0.755248950209958,0.866426714657069,0.467106578684263,0.677059276366436,0.477900552486188,1
