"geneSet","pvals.mean","pvals.median","pvals.meanabs","pvals.meansqr","pvals.maxmean","pvals.sig_n","pvals.ks_orig","pvals.ks_weighted","sim_brain"
"GO:0007268",0.824435112977405,0.637272545490902,0.76004799040192,0.762647470505899,0.75624875024995,0.647670465906819,0.545325275506577,0.610318331503842,1
"GO:0007416",0.5374925014997,0.552089582083583,0.743451309738052,0.802039592081584,0.878024395120976,0.792041591681664,0.922879177377892,0.549171270718232,1
"GO:0008021",0.120975804839032,0.329534093181364,0.727854429114177,0.646870625874825,0.277144571085783,0.852429514097181,0.326292789512017,0.133483314585677,1
"GO:0014069",0.789242151569686,0.507698460307938,0.475904819036193,0.518096380723855,0.441711657668466,0.582283543291342,0.982273201251303,0.914428766499772,1
"GO:0016079",0.525694861027794,0.316336732653469,0.804439112177564,0.936812637472506,0.848630273945211,0.98000399920016,0.337188612099644,0.709887250650477,1
"GO:0030285",0.847830433913217,0.778844231153769,0.761047790441912,0.576484703059388,0.356128774245151,0.749850029994001,0.720851063829787,0.835791925465838,1
"GO:0030672",0.0325934813037392,0.0587882423515297,0.772045590881824,0.631873625274945,0.24255148970206,0.804439112177564,0.0941949616648412,0.0276305828917487,1
"GO:0042734",0.65246950609878,0.571085782843431,0.701059788042392,0.807638472305539,0.866626674665067,0.73005398920216,0.541184971098266,0.65301724137931,1
"GO:0045211",0.602679464107179,0.570085982803439,0.459708058388322,0.439912017596481,0.649670065986803,0.657068586282743,0.955967976710335,0.927095077038707,1
"GO:0048488",0.594681063787243,0.619076184763047,0.724655068986203,0.723855228954209,0.581083783243351,0.560287942411518,0.905278921752153,0.799239543726236,1
"GO:0048786",0.325534893021396,0.188562287542491,0.722255548890222,0.857428514297141,0.689262147570486,0.830233953209358,0.462264150943396,0.590875370919881,1
"GO:0048787",0.415716856628674,0.813437312537493,0.46630673865227,0.523295340931814,0.266546690661868,0.444311137772446,0.69296613323409,0.382697393275406,1
"GO:0050804",0.687262547490502,0.82743451309738,0.662667466506699,0.718256348730254,0.599080183963207,0.586882623475305,0.647531992687386,0.461885092001502,1
"GO:0050808",0.137972405518896,0.255748850229954,0.964807038592282,0.989402119576085,0.965606878624275,0.951409718056389,0.204387186629526,0.466101694915254,1
"GO:0051963",0.445110977804439,0.550689862027595,0.252949410117976,0.284343131373725,0.494901019796041,0.193961207758448,0.575186321788689,0.476089716462124,1
"GO:0060078",0.63627274545091,0.496100779844031,0.10997800439912,0.174365126974605,0.187562487502499,0.117576484703059,0.532407407407407,0.47176759410802,1
"GO:0098839",0.948210357928414,0.657268546290742,0.888622275544891,0.898020395920816,0.787642471505699,0.759048190361928,0.764434180138568,0.859946476360392,1
"GO:0098918",0.111577684463107,0.107978404319136,0.823835232953409,0.932013597280544,0.901819636072785,0.999800039992002,0.186940298507463,0.216486902927581,1
"GO:0099010",0.636872625474905,0.17376524695061,0.454909018196361,0.540091981603679,0.527294541091782,0.769446110777844,0.549906542056075,0.770011273957159,1
"GO:0099055",0.670865826834633,0.5624875024995,0.514297140571886,0.512297540491902,0.684463107378524,0.669666066786643,0.955118694362018,0.946026986506747,1
"GO:0099056",0.673665266946611,0.359528094381124,0.540691861627674,0.677264547090582,0.728254349130174,0.637872425514897,0.555555555555556,0.696760259179266,1
"GO:0099059",0.987002599480104,0.549690061987603,0.467906418716257,0.449110177964407,0.336332733453309,0.433113377324535,0.937874251497006,0.631558935361217,1
"GO:0099060",0.932613477304539,0.49130173965207,0.322935412917417,0.33873225354929,0.0191961607678464,0.183563287342531,0.71964586846543,0.402823920265781,1
"GO:0099061",0.928414317136573,0.524495100979804,0.782243551289742,0.792841431713657,0.7374525094981,0.685262947410518,0.921456622634773,0.811651335961454,1
"GO:0099072",0.0417916416716657,0.023995200959808,0.553089382123575,0.743051389722056,0.763447310537892,0.846030793841232,0.0927200289750091,0.153645833333333,1
"GO:0099092",0.233953209358128,0.159168166366727,0.45870825834833,0.513297340531894,0.104779044191162,0.771045790841832,0.281088082901554,0.183879093198992,1
"GO:0099171",0.454509098180364,0.331133773245351,0.296540691861628,0.304739052189562,0.222755448910218,0.397120575884823,0.865655070318283,0.628862094951017,1
"GO:0099173",0.183163367326535,0.233553289342132,0.985802839432114,0.995400919816037,0.979204159168166,0.990801839632074,0.0836772983114447,0.372400756143667,1
"GO:0099175",0.116176764647071,0.254349130173965,0.969006198760248,0.991801639672066,0.943611277744451,0.978404319136173,0.0590026646364675,0.201303680981595,1
"GO:0099188",0.485502899420116,0.724855028994201,0.788842231553689,0.898420315936813,0.531093781243751,0.999800039992002,0.677059276366436,0.495821727019499,1
"GO:0099504",0.107778444311138,0.140971805638872,0.749250149970006,0.891821635672865,0.210157968406319,0.878624275144971,0.235862562634216,0.142961608775137,1
"GO:0099505",0.147770445910818,0.140571885622875,0.219356128774245,0.275544891021796,0.310137972405519,0.125574885022995,0.116137451065681,0.0973942759504485,1
"GO:0099509",0.295540891821636,0.108578284343131,0.309338132373525,0.535892821435713,0.579084183163367,0.565886822635473,0.1508864579404,0.519275250578258,1
"GO:0099523",0.141371725654869,0.102379524095181,0.706658668266347,0.807238552289542,0.580483903219356,0.733453309338132,0.078531796841656,0.0994521702486304,1
"GO:0099531",0.456108778244351,0.332333533293341,0.306738652269546,0.312137572485503,0.226154769046191,0.414917016596681,0.862017247844019,0.628516377649326,1
"GO:0099536",0.382723455308938,0.757848430313937,0.775444911017796,0.816636672665467,0.764447110577884,0.924215156968606,0.284345047923323,0.476873431337397,1
"GO:0099537",0.44631073785243,0.838032393521296,0.692261547690462,0.710857828434313,0.595680863827235,0.646870625874825,0.389492119089317,0.406731113498031,1
"GO:0099560",0.361927614477105,0.519296140771846,0.703259348130374,0.608478304339132,0.540291941611678,0.434713057388522,0.579598804950918,0.503826530612245,1
"GO:0099563",0.458308338332334,0.134173165366927,0.366526694661068,0.457308538292342,0.4125174965007,0.69746050789842,0.363636363636364,0.588553750966744,1
"GO:0099572",0.7000599880024,0.420915816836633,0.425314937012597,0.507698460307938,0.235952809438112,0.25994801039792,0.89259645464025,0.897987833411324,1
"GO:0099634",0.674465106978604,0.307938412317536,0.357328534293141,0.384523095380924,0.013997200559888,0.182963407318536,0.476118841669801,0.518471872376154,1
"GO:0099645",0.0589882023595281,0.101579684063187,0.432713457308538,0.514697060587882,0.500699860027994,0.325534893021396,0.130256791961295,0.0621447517999242,1
"GO:1904315",0.349130173965207,0.2749450109978,0.0897820435912817,0.150569886022795,0.15996800639872,0.136572685462907,0.458549222797927,0.421732522796353,1
"GO:1905606",0.528494301139772,0.608478304339132,0.226554689062188,0.251749650069986,0.506098780243951,0.0435912817436513,0.601851851851852,0.44509886411443,1
"GO:2000300",0.845230953809238,0.584083183363327,0.533093381323735,0.694261147770446,0.34253149370126,0.703059388122376,0.835222978080121,0.910830463069269,1
"SYNGO:metabolism",0.0731853629274145,0.00999800039992002,0.00439912017596481,0.00439912017596481,0.0407918416316737,0.0015996800639872,0.0380255941499086,0.0604229607250755,1
"SYNGO:postsynprocess",0.116576684663067,0.0587882423515297,0.291741651669666,0.480103979204159,0.435912817436513,0.489502099580084,0.176100628930818,0.340373108060542,1
"SYNGO:presynprocess",0.348130373925215,0.971005798840232,0.546690661867626,0.735252949410118,0.167966406718656,0.709858028394321,0.706559665038381,0.482539682539683,1
