"geneSet","pvals.PLSR","sim_brain"
"GO:0007268",0.474337748344371,1
"GO:0007416",0.940611877624475,1
"GO:0008021",0.454545454545455,1
"GO:0014069",0.719456108778244,1
"GO:0016079",0.567886422715457,1
"GO:0030285",0.884028484231943,1
"GO:0030672",0.466666666666667,1
"GO:0042734",0.51006711409396,1
"GO:0045211",0.953209358128374,1
"GO:0048488",0.270545890821836,1
"GO:0048786",0.931981687377371,1
"GO:0048787",0.95500899820036,1
"GO:0050804",0.0913817236552689,1
"GO:0050808",0.948275862068966,1
"GO:0051963",0.995800839832034,1
"GO:0060078",0.140171965606879,1
"GO:0098839",0.826434713057388,1
"GO:0098918",0.0103979204159168,1
"GO:0099010",0.597080583883223,1
"GO:0099055",0.982403519296141,1
"GO:0099056",0.813269665745162,1
"GO:0099059",0.957408518296341,1
"GO:0099060",0.950809838032393,1
"GO:0099061",0.430713857228554,1
"GO:0099072",0.482532751091703,1
"GO:0099092",0.296340731853629,1
"GO:0099171",0.510697860427914,1
"GO:0099173",0.806838632273545,1
"GO:0099175",0.00718171926006529,1
"GO:0099188",0.611677664467107,1
"GO:0099504",0.025,1
"GO:0099505",0.125574885022995,1
"GO:0099509",0.0777844431113777,1
"GO:0099523",0.000799840031993601,1
"GO:0099531",0.573685262947411,1
"GO:0099536",0.988685813751088,1
"GO:0099537",0.966169724770642,1
"GO:0099560",0.665266946610678,1
"GO:0099563",0.54129174165167,1
"GO:0099572",0.914389359129383,1
"GO:0099634",0.991601679664067,1
"GO:0099645",0.771758436944938,1
"GO:1904315",0.306138772245551,1
"GO:1905606",0.982603479304139,1
"GO:2000300",0.591081783643271,1
"SYNGO:metabolism",0.953409318136373,1
"SYNGO:postsynprocess",0.579361179361179,1
"SYNGO:presynprocess",0.666666666666667,1
"SYNGO:transport",0.0924404272801972,1
"GO:0007268",0.0364238410596026,2
"GO:0007416",0.64127174565087,2
"GO:0008021",0.909090909090909,2
"GO:0014069",0.230553889222156,2
"GO:0016079",0.409918016396721,2
"GO:0030285",0.555442522889115,2
"GO:0030672",0.733333333333333,2
"GO:0042734",0.680578859060403,2
"GO:0045211",0.136772645470906,2
"GO:0048488",0.726454709058188,2
"GO:0048786",0.128842380640942,2
"GO:0048787",0.105378924215157,2
"GO:0050804",0.281943611277744,2
"GO:0050808",0.827586206896552,2
"GO:0051963",0.614077184563087,2
"GO:0060078",0.405118976204759,2
"GO:0098839",0.248150369926015,2
"GO:0098918",0.672265546890622,2
"GO:0099010",0.446110777844431,2
"GO:0099055",0.171965606878624,2
"GO:0099056",0.733852726815783,2
"GO:0099059",0.715656868626275,2
"GO:0099060",0.423315336932613,2
"GO:0099061",0.612877424515097,2
"GO:0099072",0.313318777292576,2
"GO:0099092",0.629874025194961,2
"GO:0099171",0.549290141971606,2
"GO:0099173",0.395720855828834,2
"GO:0099175",0.0161044613710555,2
"GO:0099188",0.972805438912218,2
"GO:0099504",0.85,2
"GO:0099505",0.616676664667067,2
"GO:0099509",0.430113977204559,2
"GO:0099523",0.83623275344931,2
"GO:0099531",0.478904219156169,2
"GO:0099536",0.15230635335074,2
"GO:0099537",0.0344036697247706,2
"GO:0099560",0.412117576484703,2
"GO:0099563",0.0243951209758048,2
"GO:0099572",0.559613059250302,2
"GO:0099634",0.652669466106779,2
"GO:0099645",0.975133214920071,2
"GO:1904315",0.543491301739652,2
"GO:1905606",0.787442511497701,2
"GO:2000300",0.647670465906819,2
"SYNGO:metabolism",0.990201959608078,2
"SYNGO:postsynprocess",0.504176904176904,2
"SYNGO:presynprocess",0.916666666666667,2
"SYNGO:transport",0.843056696795399,2
"GO:0007268",0.47226821192053,3
"GO:0007416",0.990801839632074,3
"GO:0008021",0.818181818181818,3
"GO:0014069",0.684863027394521,3
"GO:0016079",0.915616876624675,3
"GO:0030285",0.546032553407935,3
"GO:0030672",0.133333333333333,3
"GO:0042734",0.865142617449664,3
"GO:0045211",0.927014597080584,3
"GO:0048488",0.49870025994801,3
"GO:0048786",0.302812295618051,3
"GO:0048787",0.464707058588282,3
"GO:0050804",0.928014397120576,3
"GO:0050808",0.948275862068966,3
"GO:0051963",0.831433713257348,3
"GO:0060078",0.970805838832234,3
"GO:0098839",0.587682463507299,3
"GO:0098918",0.47250549890022,3
"GO:0099010",0.170765846830634,3
"GO:0099055",0.731853629274145,3
"GO:0099056",0.666499120382006,3
"GO:0099059",0.867626474705059,3
"GO:0099060",0.628274345130974,3
"GO:0099061",0.272945410917816,3
"GO:0099072",0.622270742358079,3
"GO:0099092",0.987602479504099,3
"GO:0099171",0.913217356528694,3
"GO:0099173",0.252749450109978,3
"GO:0099175",0.802611534276387,3
"GO:0099188",0.981003799240152,3
"GO:0099504",0.558333333333333,3
"GO:0099505",0.450909818036393,3
"GO:0099509",0.856828634273145,3
"GO:0099523",0.446510697860428,3
"GO:0099531",0.841031793641272,3
"GO:0099536",0.843342036553525,3
"GO:0099537",0.998853211009174,3
"GO:0099560",0.829034193161368,3
"GO:0099563",0.711057788442311,3
"GO:0099572",0.90906892382104,3
"GO:0099634",0.691061787642472,3
"GO:0099645",0.0932504440497336,3
"GO:1904315",0.882823435312937,3
"GO:1905606",0.860627874425115,3
"GO:2000300",0.935812837432514,3
"SYNGO:metabolism",0.23495300939812,3
"SYNGO:postsynprocess",0.867813267813268,3
"SYNGO:presynprocess",0.25,3
"SYNGO:transport",0.899342645850452,3
"GO:0007268",0.748758278145695,4
"GO:0007416",0.905418916216757,4
"GO:0008021",0.621212121212121,4
"GO:0014069",0.724255148970206,4
