"geneSet","pvals.mean","pvals.median","pvals.meanabs","pvals.meansqr","pvals.maxmean","pvals.ks_orig","pvals.ks_weighted","sim_brain"
"GO:0007268",0.897020595880824,0.645670865826835,0.774445110977804,0.865826834633073,0.826634673065387,0.49862258953168,0.734130255564716,1
"GO:0007416",0.53129374125175,0.515896820635873,0.740251949610078,0.842031593681264,0.880423915216957,0.907852564102564,0.587443946188341,1
"GO:0008021",0.119176164767047,0.266346730653869,0.754449110177964,0.75124975004999,0.297340531893621,0.285828662930344,0.123890234059726,1
"GO:0014069",0.788842231553689,0.482303539292142,0.523095380923815,0.685462907418516,0.468306338732254,0.953405017921147,0.923992322456814,1
"GO:0016079",0.518896220755849,0.270745850829834,0.760247950409918,0.938412317536493,0.817236552689462,0.383088527193331,0.748544819557625,1
"GO:0030285",0.845430913817237,0.770445910817836,0.794041191761648,0.699460107978404,0.395920815836833,0.712999216914644,0.889926888708367,1
"GO:0030672",0.0377924415116977,0.0423915216956609,0.809438112377524,0.769846030793841,0.270145970805839,0.0715434083601286,0.0298026580749094,1
"GO:0042734",0.590481903619276,0.543291341731654,0.699660067986403,0.861627674465107,0.852429514097181,0.48444976076555,0.686520376175549,1
"GO:0045211",0.653069386122775,0.561487702459508,0.510697860427914,0.607678464307139,0.624475104979004,0.936256597645148,0.962790697674419,1
"GO:0048488",0.604079184163167,0.597880423915217,0.729054189162168,0.756848630273945,0.573885222955409,0.8891065830721,0.80597609561753,1
"GO:0048786",0.3375324935013,0.133973205358928,0.715856828634273,0.880823835232953,0.674465106978604,0.429210740439382,0.611111111111111,1
"GO:0048787",0.436912617476505,0.821435712857429,0.478304339132174,0.597680463907219,0.287342531493701,0.662038873462912,0.435401027261952,1
"GO:0050804",0.727854429114177,0.822235552889422,0.669266146770646,0.788442311537693,0.659668066386723,0.601434834595456,0.544147843942505,1
"GO:0050808",0.117576484703059,0.175964807038592,0.952009598080384,0.994601079784043,0.957408518296341,0.137270550678372,0.453204047217538,1
"GO:0051963",0.436912617476505,0.502899420115977,0.266546690661868,0.332733453309338,0.500699860027994,0.597205588822355,0.525128611001187,1
"GO:0060078",0.631873625274945,0.443111377724455,0.133573285342931,0.211957608478304,0.194561087782444,0.569438917628333,0.520109332292073,1
"GO:0098839",0.967606478704259,0.631873625274945,0.891821635672865,0.937812437512498,0.809838032393521,0.754531126871552,0.912632821723731,1
"GO:0098918",0.104579084183163,0.0875824835032993,0.791041791641672,0.922015596880624,0.875024995001,0.175681171207808,0.231139646869984,1
"GO:0099010",0.623075384923015,0.143171365726855,0.463107378524295,0.613077384523095,0.520895820835833,0.525416997617156,0.77323717948718,1
"GO:0099055",0.70505898820236,0.535292941411718,0.56368726254749,0.656468706258748,0.675864827034593,0.937017472572125,0.95292766934558,1
"GO:0099056",0.618476304739052,0.286942611477704,0.554089182163567,0.753249350129974,0.756848630273945,0.590724165988609,0.726294820717131,1
"GO:0099059",0.998600279944011,0.524095180963807,0.508498300339932,0.552089582083583,0.382923415316937,0.927141713370697,0.687077534791252,1
"GO:0099060",0.890821835632873,0.445910817836433,0.348930213957209,0.390521895620876,0.0181963607278544,0.743765084473049,0.481224489795918,1
"GO:0099061",0.918016396720656,0.485502899420116,0.793641271745651,0.852029594081184,0.760447910417916,0.906807131280389,0.866120218579235,1
"GO:0099072",0.0433913217356529,0.0161967606478704,0.535692861427714,0.778244351129774,0.755248950209958,0.0695897023330652,0.149939049167005,1
"GO:0099092",0.258348330333933,0.13997200559888,0.457108578284343,0.574885022995401,0.117576484703059,0.324919871794872,0.244208873184138,1
"GO:0099171",0.494101179764047,0.28254349130174,0.346530693861228,0.439912017596481,0.292741451709658,0.842147117296223,0.715437323659815,1
"GO:0099173",0.19256148770246,0.213157368526295,0.977204559088182,0.996400719856029,0.972205558888222,0.0775444264943457,0.399507793273175,1
"GO:0099175",0.118576284743051,0.239152169566087,0.962807438512298,0.991601679664067,0.943011397720456,0.0591763294682127,0.228349673202614,1
"GO:0099188",0.498300339932014,0.718256348730254,0.757248550289942,0.876824635072985,0.504499100179964,0.680436477007015,0.516129032258065,1
"GO:0099504",0.107178564287143,0.0863827234553089,0.72245550889822,0.915816836632673,0.205758848230354,0.186564144071226,0.158683881715952,1
"GO:0099505",0.162767446510698,0.121575684863027,0.227754449110178,0.297740451909618,0.337332533493301,0.157916157916158,0.134028892455859,1
"GO:0099509",0.266346730653869,0.0867826434713057,0.30253949210158,0.543091381723655,0.541691661667666,0.118767734089988,0.475102040816327,1
"GO:0099523",0.151169766046791,0.0853829234153169,0.704459108178364,0.835632873425315,0.598480303939212,0.0961303462321792,0.121676067687349,1
"GO:0099531",0.494101179764047,0.28254349130174,0.346530693861228,0.439912017596481,0.292741451709658,0.842147117296223,0.715437323659815,1
"GO:0099536",0.409518096380724,0.786642671465707,0.79004199160168,0.896820635872825,0.817036592681464,0.223015873015873,0.582335947172926,1
"GO:0099537",0.47130573885223,0.838232353529294,0.714657068586283,0.83003399320136,0.678664267146571,0.307935254638768,0.481296758104738,1
"GO:0099560",0.366326734653069,0.465306938612278,0.744451109778044,0.720455908818236,0.586882623475305,0.603531300160514,0.598496835443038,1
"GO:0099563",0.45370925814837,0.106378724255149,0.396720655868826,0.5374925014997,0.426514697060588,0.362624254473161,0.59098164405427,1
