"pvals.mean","pvals.median","pvals.meanabs","pvals.meansqr","pvals.maxmean","pvals.sig_n","pvals.sign_test","pvals.rank_sum","pvals.ks_orig","pvals.ks_weighted","geneSet"
0.00803981623277182,0.00877862595419847,0.0105978804239152,0.0101979604079184,0.0115216527612237,0.0147970405918816,0.186902582875737,0.825434913017396,0.0864149474503698,0.29,"Astrocyte"
0.018042226487524,0.0110350076103501,0.00959808038392321,0.00959808038392321,0.011047619047619,0.0123975204959008,0.247177171012113,0.779644071185763,0.253256704980843,0.411948457633737,"CA1.Pyramidal"
0.494280078895463,0.135854882284832,0.0125974805038992,0.0101979604079184,0.0167644593461861,0.0153969206158768,1,0.413917216556689,0.750858450972911,0.934327155519742,"Endothelial"
0.106170946722882,0.0184313725490196,0.0121975604879024,0.0115976804639072,0.0163002274450341,0.00819836032793441,0.739383846794338,0.472905418916217,0.430124223602484,0.608160123171671,"Ependymal"
0.498785425101215,0.142637447135717,0.0151969606078784,0.01499700059988,0.0282311424790472,0.021995600879824,0.835031432907002,0.620475904819036,0.240762349280436,0.921511627906977,"Interneuron"
0.0101483216237315,0.0131528046421663,0.0107978404319136,0.0113977204559088,0.0111153698735148,0.00819836032793441,0.406320541760722,0.867626474705059,0.156501726121979,0.386909372579396,"Microglia"
0.0823842065299924,0.00741839762611276,0.0177964407118576,0.0203959208158368,0.0397196261682243,0.0347930413917217,0.737052589482104,0.667666466706659,0.843382631778536,0.954454654414702,"Mural"
0.269558481797057,0.0813072937425269,0.0123975204959008,0.0113977204559088,0.014365522745411,0.010997800439912,0.600501462599248,0.268546290741852,0.416144200626959,0.773823191733639,"Oligodendrocyte"
0.151281008540057,0.00570264765784114,0.00799840031993601,0.00959808038392321,0.0188370188370188,0.00879824035192961,0.528156621205455,0.440111977604479,0.271801140994295,0.713814432989691,"S1.Pyramidal"
0.00316831683168317,0.00390472471690746,0.0025994801039792,0.0027994401119776,0.00277667592225307,0.00339932013597281,0.215846436593833,0.886422715456909,0.200240288346015,0.153631284916201,"Astrocyte"
0.00275482093663912,0.00231124807395994,0.00379924015196961,0.00339932013597281,0.00424874468906914,0.00479904019196161,0.161177439275422,0.914417116576685,0.14695882130714,0.379148770011714,"CA1.Pyramidal"
0.677289229528035,0.181002243829469,0.0013997200559888,0.0015996800639872,0.00361663652802893,0.00359928014397121,0.882574916759156,0.153969206158768,0.808873720136519,0.948014735980352,"Endothelial"
0.00898325847284606,0.00990916597853014,0.002999400119976,0.0031993601279744,0.00333704115684093,0.00439912017596481,0.70507689066779,0.589682063587283,0.384922217790187,0.446159936658749,"Ependymal"
0.221862348178138,0.0462107208872458,0.00639872025594881,0.00619876024795041,0.00458553791887125,0.0127974405118976,1,0.725854829034193,0.512791572610986,0.991615853658537,"Interneuron"
0.00270374662031672,0.00386249517188104,0.0013997200559888,0.0013997200559888,0.00261291526689063,0.0021995600879824,0.257001647446458,0.891421715656869,0.0653323262839879,0.080225988700565,"Microglia"
0.0137352155665776,0.0363704536932883,0.00519896020795841,0.00559888022395521,0.015210608424337,0.00399920015996801,0.798640271945611,0.429714057188562,0.735471698113208,0.823623945359582,"Mural"
0.392118611002731,0.0945134160993192,0.00679864027194561,0.00499900019996001,0.00901639344262295,0.0153969206158768,0.730737365368683,0.254749050189962,0.537851763773286,0.813199536858356,"Oligodendrocyte"
0.0566117448246726,0.00621375310687655,0.002999400119976,0.00399920015996801,0.00701320132013201,0.0023995200959808,0.359615814161269,0.527694461107778,0.29366106080207,0.593884582256675,"S1.Pyramidal"
0.351298190401259,0.315354330708661,0.227754449110178,0.219156168766247,0.265397082658023,1,0.589858924555306,0.550889822035593,0.6785290628707,0.640925127401019,"Astrocyte"
0.14196323816973,0.125,0.113377324535093,0.0933813237352529,0.126418152350081,0.0507898420315937,0.123304562268804,0.655068986202759,0.296108949416342,0.241165048543689,"CA1.Pyramidal"
0.709239130434783,0.988367584335014,0.285542891421716,0.177964407118576,0.287812624057166,0.0423915216956609,1,0.642071585682863,0.191095350669819,0.669278996865204,"Endothelial"
0.873535353535353,0.415684681023974,0.177564487102579,0.138372325534893,0.196951464099479,0.0499900019996001,0.80902632678646,0.182963407318536,0.875933609958506,0.781780538302277,"Ependymal"
0.656103286384977,0.0108822386319471,0.127374525094981,0.117376524695061,0.150240384615385,0.0959808038392322,0.671238841715654,0.0687862427514497,0.342560553633218,0.730675345809601,"Interneuron"
0.32258064516129,0.380499405469679,0.203959208158368,0.170165966806639,0.161640530759952,1,0.872802481902792,0.608478304339132,0.651711924439197,0.565664556962025,"Microglia"
0.121188118811881,0.365238285943132,0.0491901619676065,0.0343931213757249,0.0405774483027702,0.0171965606878624,0.296540691861628,0.131373725254949,0.368797141722906,0.0762124711316397,"Mural"
0.655086848635236,0.685855263157895,0.188562287542491,0.14377124575085,0.217781402936378,0.0575884823035393,0.846360628618693,0.182163567286543,1,0.863503953391594,"Oligodendrocyte"
0.0594573024740623,0.3064,0.131973605278944,0.103979204159168,0.0845790715971676,1,0.604349736379613,0.749850029994001,0.359037127702978,0.158576051779935,"S1.Pyramidal"
0.0167130919220056,0.0209817893903405,0.0237952409518096,0.020995800839832,0.0208594075928244,0.0197960407918416,0.318237454100367,0.863027394521096,0.189823874755382,0.139031114612052,"Astrocyte"
0.00923694779116466,0.0309485530546624,0.0187962407518496,0.0111977604479104,0.0171042163882259,0.015996800639872,0.184520123839009,0.918216356728654,0.188383045525903,0.0965435041716329,"CA1.Pyramidal"
